DMSO,Enzalutamide ,Carvedilol,Combination 
93.18855,54.00157,21.02716,10.99147
61.16992,42.53221,7.16835,12.42514
125.68507,79.80763,8.12413,4.7789
109.9147,44.44377,5.25679,4.7789
97.01167,79.32974,21.02716,20.07138
89.36543,46.35533,7.16835,6.69046
90.32121,40.62065,3.82312,3.82312
133.33131,47.789,5.25679,5.25679
119.87752,64.83172,4.28134,6.1162
94.18948,47.09474,1.83486,3.66972
100.9173,51.9877,6.1162,4.89296
83.79194,51.37608,4.89296,6.1162
107.0335,48.9296,3.66972,4.28134
80.73384,44.64826,4.28134,3.66972
108.25674,45.8715,3.66972,3.0581
105.19864,63.60848,3.66972,4.28134
