Model,RMSE,MAE,MSE,R2,Pearson,Median_AE,Explained_Variance,Data,Mode,Dataset,Type
Raw Diffusion,0.4233053288204007,0.2924575428584274,0.1791874014077475,0.9052066465201356,0.9581168967095276,0.2017750057592833,0.9108895172013496,BindDB,random,Training,InHouse
Raw Random Forest,0.3077444326521014,0.1978187828562344,0.0947066358283637,0.9498984887529112,0.9812446336125538,0.114165850310997,0.9499256231090052,BindDB,random,Training,InHouse
LinkD,0.2958703973601448,0.1923822669433056,0.08753929203405,0.9536901423427752,0.9774341451815892,0.1113528921704003,0.9543889725350616,BindDB,random,Training,InHouse
Raw Diffusion,0.747376900128533,0.4843676499284403,0.5585722308457352,0.7112788633787521,0.8538915188716779,0.2665307927131652,0.7178607049318826,BindDB,random,Validation,InHouse
Raw Random Forest,0.8514771129495218,0.5626912672296757,0.7250132738768527,0.6252469332707873,0.7935948521256703,0.3483169906158596,0.6253836084484197,BindDB,random,Validation,InHouse
LinkD,0.7319171090414548,0.4705183303340871,0.5357026545076009,0.7230999488351397,0.8519679401204108,0.2516329388421954,0.7247416389384901,BindDB,random,Validation,InHouse
Raw Diffusion,0.7139044980474245,0.4575284204941209,0.5096596323323451,0.7284193864511626,0.8615014179999296,0.2425550907587763,0.7327066913255117,BindDB,random,Test,InHouse
Raw Random Forest,0.8126723667464713,0.5285859462069995,0.660436375673311,0.6480754905101688,0.8078073921174099,0.3074006059351197,0.6482004261692915,BindDB,random,Test,InHouse
LinkD,0.6988043658522782,0.4422684904240908,0.4883275417342047,0.7397865457971171,0.8614898557615469,0.2180493511959587,0.7410453960402558,BindDB,random,Test,InHouse
Raw Diffusion,0.4162155771501418,0.3052602846787882,0.1732354066624256,0.909808727815864,0.9639133536194228,0.2364015197753906,0.9257344784467124,BindDB,cold_protein,Training,InHouse
Raw Random Forest,0.2902852907427832,0.1867091793170541,0.0842655500216222,0.9561289617164936,0.9834389832560384,0.1086977982449495,0.9561409233676116,BindDB,cold_protein,Training,InHouse
LinkD,0.2941418479872428,0.2016501094709304,0.0865194267373502,0.9549555294935196,0.98019279804376,0.1311134171224717,0.9593694259619144,BindDB,cold_protein,Training,InHouse
Raw Diffusion,1.114912072973959,0.7375111742810914,1.2430289304630906,0.3804777142341082,0.6397097410034125,0.3877182518670126,0.3805345698390796,BindDB,cold_protein,Validation,InHouse
Raw Random Forest,1.2772057360278553,0.9108679094097468,1.6312544921424557,0.1869871353183434,0.4619093675833786,0.565301395035124,0.2033169338418049,BindDB,cold_protein,Validation,InHouse
LinkD,1.1253776438813412,0.7713338657253044,1.266474841347919,0.3687923351192224,0.6098815500192767,0.4844787238691368,0.3712097769233878,BindDB,cold_protein,Validation,InHouse
Raw Diffusion,1.183729383905816,0.7387813252449867,1.4012152543220426,0.1834071368541219,0.5273602054271281,0.3137437009811403,0.2101481426556758,BindDB,cold_protein,Test,InHouse
Raw Random Forest,1.102629566056421,0.7485419840695896,1.2157919599417712,0.2914671500354564,0.5536681139843511,0.4698825906364519,0.3003245527830468,BindDB,cold_protein,Test,InHouse
LinkD,1.0795791503320062,0.6774437165042387,1.1654911418315763,0.32078119650511,0.5747909535866029,0.3379548997793291,0.3217160639700065,BindDB,cold_protein,Test,InHouse
Raw Diffusion,0.4332939215499491,0.3037761988715347,0.1877436224521334,0.9041547944848942,0.9587526388980776,0.2153024148520153,0.9162317992554748,BindDB,cold_drug,Training,InHouse
Raw Random Forest,0.2987634139354253,0.1913904991522941,0.0892595775063502,0.9544319938086374,0.9827380463032254,0.1088035329180767,0.9544455427925352,BindDB,cold_drug,Training,InHouse
LinkD,0.3092641198664347,0.2036622021834256,0.0956442958367605,0.9511725241524032,0.97773466499367,0.1193096306160086,0.9540789736601544,BindDB,cold_drug,Training,InHouse
Raw Diffusion,1.3256149672322548,0.9998925236333304,1.7572550413501722,-0.0761908295691178,0.5023229776014765,0.8064613771438598,0.0640972177270455,BindDB,cold_drug,Validation,InHouse
Raw Random Forest,1.0702020225461428,0.877017911897935,1.1453323690618549,0.2985672748754866,0.6496668413697694,0.7751110152984086,0.4220468728125558,BindDB,cold_drug,Validation,InHouse
LinkD,1.1416239855519033,0.908599135024762,1.3033053243874124,0.2018203361325071,0.5973563453272456,0.8067710356926825,0.3342285870629585,BindDB,cold_drug,Validation,InHouse
Raw Diffusion,1.1045919077271535,0.8592953640891385,1.2201232826163126,0.3108455739369813,0.646656929761054,0.723371455257567,0.3771291834548362,BindDB,cold_drug,Test,InHouse
Raw Random Forest,1.0493018920378234,0.8611234943944294,1.101034460634156,0.3781097511991758,0.6613504611936188,0.7816744770399007,0.4373786746714379,BindDB,cold_drug,Test,InHouse
LinkD,1.0209589269319026,0.8213734525421786,1.042357130481942,0.4112520921085701,0.6859073863217325,0.7170286764417781,0.4694489457314476,BindDB,cold_drug,Test,InHouse
Raw Diffusion,0.3539356217483043,0.2317194927994403,0.1252704243423587,0.8209489614455602,0.9137789598328214,0.1466327095031738,0.8323586667223334,Davis,random,Training,InHouse
Raw Random Forest,0.2198798407233164,0.1320091716695923,0.048347144356511,0.93089664656586,0.976514052316413,0.0674788759915969,0.9309330983764368,Davis,random,Training,InHouse
