DMSO,Enzalutamide ,Propranolol,Combination 
86.30118,62.10032,5.93606,10.04564
61.18708,84.01808,3.65296,5.02282
93.15048,100.91302,5.02282,9.58902
79.9085,59.3606,2.73972,6.39268
93.15048,59.81722,8.21916,9.1324
99.54316,61.18708,2.73972,10.95888
146.1184,61.18708,3.65296,5.47944
140.63896,86.30118,10.95888,9.58902
134.09808,91.38876,5.97012,5.51088
97.81812,97.81812,4.13316,5.97012
114.35076,80.367,2.2962,5.51088
106.08444,64.75284,4.5924,5.97012
96.89964,48.67944,,9.1848
85.41864,43.16856,13.7772,8.72556
77.15232,49.59792,4.5924,4.5924
88.17408,61.07892,3.67392,5.97012
