Drug Chembl ID,ICD10,logit_or,logit_ci_lower,logit_ci_upper,logit_p,exposed_occurred(a),exposed_no_occurred(b),no_exposed_occurred(c),no_exposed_no_occurred(d),Disease Description,Drug Name,Chembl ID,DrugBank ID,Drug Description,IUPAC Name,Molecular Weight,SMILES,ATC Code,ATC Level_0_code,ATC Level_0_name,ATC Level_1_code,ATC Level_1_name,ATC Level_2_code,ATC Level_2_name,ATC Level_3_code,ATC Level_3_name
CHEMBL1222250,C61,0.845495468,0.778937041,0.917741164,6.02e-05,818,146595,1933,292893,Malignant neoplasm of prostate,Dextrose,,,,,,,,,,,,,,,
CHEMBL1502,C61,0.88810933,0.817400673,0.964934589,0.005059568,812,115735,1827,231267,Malignant neoplasm of prostate,Pantoprazole,CHEMBL1502,DB00213,"Pantoprazole is a first-generation proton pump inhibitor (PPI) used for the management of gastroesophageal reflux disease (GERD), for gastric protection to prevent recurrence of stomach ulcers or gastric damage from chronic use of NSAIDs, and for the treatment of pathological hypersecretory conditions including Zollinger-Ellison (ZE) Syndrome. It can also be found in quadruple regimens for the treatment of _H. pylori_ infections along with other antibiotics including [amoxicillin], [clarithromycin], and [metronidazole], for example.[A177271][F4498] Its efficacy is considered similar to other medications within the PPI class including [omeprazole], [esomeprazole], [lansoprazole], [dexlansoprazole], and [rabeprazole].

Pantoprazole exerts its stomach acid-suppressing effects by preventing the final step in gastric acid production by covalently binding to sulfhydryl groups of cysteines found on the (H+, K+)-ATPase enzyme at the secretory surface of gastric parietal cell. This effect leads to inhibition of both basal and stimulated gastric acid secretion, irrespective of the stimulus. As the binding of pantoprazole to the (H+, K+)-ATPase enzyme is irreversible and new enzyme needs to be expressed in order to resume acid secretion, pantoprazole's duration of antisecretory effect persists longer than 24 hours.[FDA Label]

Due to their good safety profile and as several PPIs are available over the counter without a prescription, their current use in North America is widespread. Long term use of PPIs such as pantoprazole have been associated with possible adverse effects, however, including increased susceptibility to bacterial infections (including gastrointestinal _C. difficile_), reduced absorption of micronutrients including iron and B12, and an increased risk of developing hypomagnesemia and hypocalcemia which may contribute to osteoporosis and bone fractures later in life.[A177571]

PPIs such as pantoprazole have also been shown to inhibit the activity of dimethylarginine dimethylaminohydrolase (DDAH), an enzyme necessary for cardiovascular health. DDAH inhibition causes a consequent accumulation of the nitric oxide synthase inhibitor asymmetric dimethylarginie (ADMA), which is thought to cause the association of PPIs with increased risk of cardiovascular events in patients with unstable coronary syndromes.[A177577, A177580]

Pantoprazole doses should be slowly lowered, or tapered, before discontinuing as rapid discontinuation of PPIs such as pantoprazole may cause a rebound effect and a short term increase in hypersecretion.[A177574]","6-(difluoromethoxy)-2-[(3,4-dimethoxypyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",383.37,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,A02BD04,A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
CHEMBL1502,C61,0.88810933,0.817400673,0.964934589,0.005059568,812,115735,1827,231267,Malignant neoplasm of prostate,Pantoprazole,CHEMBL1502,DB00213,"Pantoprazole is a first-generation proton pump inhibitor (PPI) used for the management of gastroesophageal reflux disease (GERD), for gastric protection to prevent recurrence of stomach ulcers or gastric damage from chronic use of NSAIDs, and for the treatment of pathological hypersecretory conditions including Zollinger-Ellison (ZE) Syndrome. It can also be found in quadruple regimens for the treatment of _H. pylori_ infections along with other antibiotics including [amoxicillin], [clarithromycin], and [metronidazole], for example.[A177271][F4498] Its efficacy is considered similar to other medications within the PPI class including [omeprazole], [esomeprazole], [lansoprazole], [dexlansoprazole], and [rabeprazole].

Pantoprazole exerts its stomach acid-suppressing effects by preventing the final step in gastric acid production by covalently binding to sulfhydryl groups of cysteines found on the (H+, K+)-ATPase enzyme at the secretory surface of gastric parietal cell. This effect leads to inhibition of both basal and stimulated gastric acid secretion, irrespective of the stimulus. As the binding of pantoprazole to the (H+, K+)-ATPase enzyme is irreversible and new enzyme needs to be expressed in order to resume acid secretion, pantoprazole's duration of antisecretory effect persists longer than 24 hours.[FDA Label]

Due to their good safety profile and as several PPIs are available over the counter without a prescription, their current use in North America is widespread. Long term use of PPIs such as pantoprazole have been associated with possible adverse effects, however, including increased susceptibility to bacterial infections (including gastrointestinal _C. difficile_), reduced absorption of micronutrients including iron and B12, and an increased risk of developing hypomagnesemia and hypocalcemia which may contribute to osteoporosis and bone fractures later in life.[A177571]

PPIs such as pantoprazole have also been shown to inhibit the activity of dimethylarginine dimethylaminohydrolase (DDAH), an enzyme necessary for cardiovascular health. DDAH inhibition causes a consequent accumulation of the nitric oxide synthase inhibitor asymmetric dimethylarginie (ADMA), which is thought to cause the association of PPIs with increased risk of cardiovascular events in patients with unstable coronary syndromes.[A177577, A177580]

Pantoprazole doses should be slowly lowered, or tapered, before discontinuing as rapid discontinuation of PPIs such as pantoprazole may cause a rebound effect and a short term increase in hypersecretion.[A177574]","6-(difluoromethoxy)-2-[(3,4-dimethoxypyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",383.37,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,A02BD11,A02BD,Combinations for eradication of Helicobacter pylori,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
CHEMBL1502,C61,0.88810933,0.817400673,0.964934589,0.005059568,812,115735,1827,231267,Malignant neoplasm of prostate,Pantoprazole,CHEMBL1502,DB00213,"Pantoprazole is a first-generation proton pump inhibitor (PPI) used for the management of gastroesophageal reflux disease (GERD), for gastric protection to prevent recurrence of stomach ulcers or gastric damage from chronic use of NSAIDs, and for the treatment of pathological hypersecretory conditions including Zollinger-Ellison (ZE) Syndrome. It can also be found in quadruple regimens for the treatment of _H. pylori_ infections along with other antibiotics including [amoxicillin], [clarithromycin], and [metronidazole], for example.[A177271][F4498] Its efficacy is considered similar to other medications within the PPI class including [omeprazole], [esomeprazole], [lansoprazole], [dexlansoprazole], and [rabeprazole].

Pantoprazole exerts its stomach acid-suppressing effects by preventing the final step in gastric acid production by covalently binding to sulfhydryl groups of cysteines found on the (H+, K+)-ATPase enzyme at the secretory surface of gastric parietal cell. This effect leads to inhibition of both basal and stimulated gastric acid secretion, irrespective of the stimulus. As the binding of pantoprazole to the (H+, K+)-ATPase enzyme is irreversible and new enzyme needs to be expressed in order to resume acid secretion, pantoprazole's duration of antisecretory effect persists longer than 24 hours.[FDA Label]

Due to their good safety profile and as several PPIs are available over the counter without a prescription, their current use in North America is widespread. Long term use of PPIs such as pantoprazole have been associated with possible adverse effects, however, including increased susceptibility to bacterial infections (including gastrointestinal _C. difficile_), reduced absorption of micronutrients including iron and B12, and an increased risk of developing hypomagnesemia and hypocalcemia which may contribute to osteoporosis and bone fractures later in life.[A177571]

PPIs such as pantoprazole have also been shown to inhibit the activity of dimethylarginine dimethylaminohydrolase (DDAH), an enzyme necessary for cardiovascular health. DDAH inhibition causes a consequent accumulation of the nitric oxide synthase inhibitor asymmetric dimethylarginie (ADMA), which is thought to cause the association of PPIs with increased risk of cardiovascular events in patients with unstable coronary syndromes.[A177577, A177580]

Pantoprazole doses should be slowly lowered, or tapered, before discontinuing as rapid discontinuation of PPIs such as pantoprazole may cause a rebound effect and a short term increase in hypersecretion.[A177574]","6-(difluoromethoxy)-2-[(3,4-dimethoxypyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",383.37,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,A02BC02,A02BC,Proton pump inhibitors,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
CHEMBL1200718,C61,0.837336437,0.767850683,0.913110223,5.91e-05,731,122321,1744,244360,Malignant neoplasm of prostate,Magnesium Hydroxide,CHEMBL1200718,DB09104,"Magnesium hydroxide is an inorganic compound. It is naturally found as the mineral brucite. Magnesium hydroxide can be used as an antacid or a laxative in either an oral liquid suspension or chewable tablet form. 
Additionally, magnesium hydroxide has smoke suppressing and flame retardant properties and is thus used commercially as a fire retardant. 
It can also be used topically as a deodorant or for the relief of canker sores (aphthous ulcers).",magnesium(2+) dihydroxide,58.32,[OH-].[OH-].[Mg++],G04BX01,G04BX,Other urologicals,G04B,UROLOGICALS,G04,UROLOGICALS,G,GENITO URINARY SYSTEM AND SEX HORMONES
CHEMBL1200718,C61,0.837336437,0.767850683,0.913110223,5.91e-05,731,122321,1744,244360,Malignant neoplasm of prostate,Magnesium Hydroxide,CHEMBL1200718,DB09104,"Magnesium hydroxide is an inorganic compound. It is naturally found as the mineral brucite. Magnesium hydroxide can be used as an antacid or a laxative in either an oral liquid suspension or chewable tablet form. 
Additionally, magnesium hydroxide has smoke suppressing and flame retardant properties and is thus used commercially as a fire retardant. 
It can also be used topically as a deodorant or for the relief of canker sores (aphthous ulcers).",magnesium(2+) dihydroxide,58.32,[OH-].[OH-].[Mg++],A02AA04,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
CHEMBL1663,C61,0.777420117,0.71239858,0.848376253,1.61e-08,706,85195,1812,169990,Malignant neoplasm of prostate,Perflutren,CHEMBL1663,DB00556,"Perflutren, a diagnostic drug that is intended to be used for contrast enhancement during the indicated echocardiographic procedures, is comprised of lipid-coated microspheres filled with octafluoropropane(OFP) gas. When exposed to ultrasound waves, the microspheres resonate and ""echo"" strong signals back to the ultrasound machine. The difference in density between the gas-filled bubbles and the blood around them creates an increased level of contrast visible in the resulting ultrasound image. During echocardiography, activated Perflutren enhances images of the inner edges or borders of the heart, producing an improved image that may enable physicians to better diagnose patients.",octafluoropropane,188.0193,FC(F)(F)C(F)(F)C(F)(F)F,,,,,,,,,
CHEMBL276832,C61,0.81257563,0.743452278,0.888125809,4.75e-06,691,71152,1697,141989,Malignant neoplasm of prostate,Hydralazine,CHEMBL276832,DB01275,"Originally developed in the 1950s as a malaria treatment, hydralazine showed antihypertensive ability and was soon repurposed.[A186841] Hydralazine is a hydrazine derivative vasodilator used alone or as adjunct therapy in the treatment of hypertension and only as adjunct therapy in the treatment of heart failure.[A186820,L8782,L8785] Hydralazine is no longer a first line therapy for these indications since the development of newer antihypertensive medications.[T691]

Hydralazine hydrochloride was FDA approved on 15 January 1953.[L8779]",1-hydrazinylphthalazine,160.1759,NNC1=NN=CC2=CC=CC=C12,C02DB02,C02DB,Hydrazinophthalazine derivatives,C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02,ANTIHYPERTENSIVES,C,CARDIOVASCULAR SYSTEM
CHEMBL276832,C61,0.81257563,0.743452278,0.888125809,4.75e-06,691,71152,1697,141989,Malignant neoplasm of prostate,Hydralazine,CHEMBL276832,DB01275,"Originally developed in the 1950s as a malaria treatment, hydralazine showed antihypertensive ability and was soon repurposed.[A186841] Hydralazine is a hydrazine derivative vasodilator used alone or as adjunct therapy in the treatment of hypertension and only as adjunct therapy in the treatment of heart failure.[A186820,L8782,L8785] Hydralazine is no longer a first line therapy for these indications since the development of newer antihypertensive medications.[T691]

Hydralazine hydrochloride was FDA approved on 15 January 1953.[L8779]",1-hydrazinylphthalazine,160.1759,NNC1=NN=CC2=CC=CC=C12,C02LG02,C02LG,Hydrazinophthalazine derivatives and diuretics,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02,ANTIHYPERTENSIVES,C,CARDIOVASCULAR SYSTEM
CHEMBL1771,C61,0.827010325,0.756289943,0.904343744,3.12e-05,688,61777,1660,123270,Malignant neoplasm of prostate,Clopidogrel,CHEMBL1771,DB00758,"Clopidogrel is a prodrug of a platelet inhibitor used to reduce the risk of myocardial infarction and stroke.[A180508,L7213] Clopidogrel is indicated to reduce the risk of myocardial infarction for patients with non-ST elevated acute coronary syndrome (ACS), patients with ST-elevated myocardial infarction, and in recent MI, stroke, or established peripheral arterial disease,[L7213]

It has been shown to be superior to [aspirin] in reducing cardiovascular outcomes in patients with cardiovascular disease and provides additional benefit to patients with acute coronary syndromes already taking aspirin.[A180547]

Clopidogrel was granted FDA approval on 17 November 1997.[L7213]","methyl (2S)-2-(2-chlorophenyl)-2-{4H,5H,6H,7H-thieno[3,2-c]pyridin-5-yl}acetate",321.822,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,B01AC04,B01AC,Platelet aggregation inhibitors excl. heparin,B01A,ANTITHROMBOTIC AGENTS,B01,ANTITHROMBOTIC AGENTS,B,BLOOD AND BLOOD FORMING ORGANS
