Drug Chembl ID,ICD10,odds_ratio,drug_cancer,drug_no_cancer,no_drug_cancer,no_drug_no_cancer,Disease Description,Drug Name,Chembl ID,DrugBank ID,Drug Description,IUPAC Name,Molecular Weight,SMILES,ATC Code,ATC Level_0_code,ATC Level_0_name,ATC Level_1_code,ATC Level_1_name,ATC Level_2_code,ATC Level_2_name,ATC Level_3_code,ATC Level_3_name
CHEMBL716,C44,0.136,9,737,24258,269795,Other and unspecified malignant neoplasm of skin,Quetiapine,CHEMBL716,DB01224,"Initially approved by the FDA in 1997, quetiapine is a second-generation atypical antipsychotic used in schizophrenia, major depression, and bipolar disorder.[L8546] Quetiapine demonstrates a high level of therapeutic efficacy and low risk of adverse effects during long-term treatment. It is well-tolerated and a suitable option for some patients with high sensitivity to other drugs, such as [Clozapine] and [Olanzapine].[A2189]","2-[2-(4-{2-thia-9-azatricyclo[9.4.0.0^{3,8}]pentadeca-1(15),3,5,7,9,11,13-heptaen-10-yl}piperazin-1-yl)ethoxy]ethan-1-ol",383.507,OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12,N05AH04,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",N05A,ANTIPSYCHOTICS,N05,PSYCHOLEPTICS,N,NERVOUS SYSTEM
CHEMBL716,C61,0.216,8,739,14024,280028,Malignant neoplasm of prostate,Quetiapine,CHEMBL716,DB01224,"Initially approved by the FDA in 1997, quetiapine is a second-generation atypical antipsychotic used in schizophrenia, major depression, and bipolar disorder.[L8546] Quetiapine demonstrates a high level of therapeutic efficacy and low risk of adverse effects during long-term treatment. It is well-tolerated and a suitable option for some patients with high sensitivity to other drugs, such as [Clozapine] and [Olanzapine].[A2189]","2-[2-(4-{2-thia-9-azatricyclo[9.4.0.0^{3,8}]pentadeca-1(15),3,5,7,9,11,13-heptaen-10-yl}piperazin-1-yl)ethoxy]ethan-1-ol",383.507,OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12,N05AH04,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",N05A,ANTIPSYCHOTICS,N05,PSYCHOLEPTICS,N,NERVOUS SYSTEM
CHEMBL716,C50,0.067,3,739,16865,277189,Malignant neoplasm of breast,Quetiapine,CHEMBL716,DB01224,"Initially approved by the FDA in 1997, quetiapine is a second-generation atypical antipsychotic used in schizophrenia, major depression, and bipolar disorder.[L8546] Quetiapine demonstrates a high level of therapeutic efficacy and low risk of adverse effects during long-term treatment. It is well-tolerated and a suitable option for some patients with high sensitivity to other drugs, such as [Clozapine] and [Olanzapine].[A2189]","2-[2-(4-{2-thia-9-azatricyclo[9.4.0.0^{3,8}]pentadeca-1(15),3,5,7,9,11,13-heptaen-10-yl}piperazin-1-yl)ethoxy]ethan-1-ol",383.507,OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12,N05AH04,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",N05A,ANTIPSYCHOTICS,N05,PSYCHOLEPTICS,N,NERVOUS SYSTEM
CHEMBL1138,C61,0.412,800,37350,12645,243417,Malignant neoplasm of prostate,Ezetimibe,CHEMBL1138,DB00973,"Ezetimibe is a lipid-lowering compound that inhibits intestinal cholesterol and phytosterol absorption. The discovery and research of this drug began in the early 1990s, after the intravenous administration of radiolabelled ezetimibe in rats revealed that it was being localized within enterocytes of the intestinal villi - this prompted studies investigating the effect of ezetimibe on intestinal cholesterol absorption.[A15202] Ezetimibe is used as an adjunctive therapy to a healthy diet to lower cholesterol levels in primary hyperlipidemia, mixed hyperlipidemia, homozygous familial hypercholesterolemia (HoFH), and homozygous sitosterolemia (phytosterolemia).[L11347]

Unlike other classes of cholesterol-reducing compounds including statins and bile acid sequestrants, ezetimibe has a distinct mechanism of action involving the sterol transporter Niemann-Pick C1-Like 1 (NPC1L1), and is unique in that it does not affect the absorption of fat-soluble nutrients such as fat-soluble vitamins, triglycerides, or bile acids.[A33313] In genetically NPC1L1-deficient mice, a 70% reduction in intestinal cholesterol absorption was seen, and these mice were insensitive to ezetimibe treatment - it was determined based on these findings that NPC1L1 plays an essential role in promoting intestinal cholesterol uptake via an ezetimibe-sensitive pathway.[A15202] By interfering with the intestinal uptake of cholesterol and phytosterols, ezetimibe reduces the delivery of intestinal cholesterol to the liver.[L11347]","(3R,4S)-1-(4-fluorophenyl)-3-[(3S)-3-(4-fluorophenyl)-3-hydroxypropyl]-4-(4-hydroxyphenyl)azetidin-2-one",409.4252,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,C10BA02,C10BA,Combinations of various lipid modifying agents,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",C10,LIPID MODIFYING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL1138,C61,0.412,800,37350,12645,243417,Malignant neoplasm of prostate,Ezetimibe,CHEMBL1138,DB00973,"Ezetimibe is a lipid-lowering compound that inhibits intestinal cholesterol and phytosterol absorption. The discovery and research of this drug began in the early 1990s, after the intravenous administration of radiolabelled ezetimibe in rats revealed that it was being localized within enterocytes of the intestinal villi - this prompted studies investigating the effect of ezetimibe on intestinal cholesterol absorption.[A15202] Ezetimibe is used as an adjunctive therapy to a healthy diet to lower cholesterol levels in primary hyperlipidemia, mixed hyperlipidemia, homozygous familial hypercholesterolemia (HoFH), and homozygous sitosterolemia (phytosterolemia).[L11347]

Unlike other classes of cholesterol-reducing compounds including statins and bile acid sequestrants, ezetimibe has a distinct mechanism of action involving the sterol transporter Niemann-Pick C1-Like 1 (NPC1L1), and is unique in that it does not affect the absorption of fat-soluble nutrients such as fat-soluble vitamins, triglycerides, or bile acids.[A33313] In genetically NPC1L1-deficient mice, a 70% reduction in intestinal cholesterol absorption was seen, and these mice were insensitive to ezetimibe treatment - it was determined based on these findings that NPC1L1 plays an essential role in promoting intestinal cholesterol uptake via an ezetimibe-sensitive pathway.[A15202] By interfering with the intestinal uptake of cholesterol and phytosterols, ezetimibe reduces the delivery of intestinal cholesterol to the liver.[L11347]","(3R,4S)-1-(4-fluorophenyl)-3-[(3S)-3-(4-fluorophenyl)-3-hydroxypropyl]-4-(4-hydroxyphenyl)azetidin-2-one",409.4252,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,C10BA11,C10BA,Combinations of various lipid modifying agents,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",C10,LIPID MODIFYING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL1138,C61,0.412,800,37350,12645,243417,Malignant neoplasm of prostate,Ezetimibe,CHEMBL1138,DB00973,"Ezetimibe is a lipid-lowering compound that inhibits intestinal cholesterol and phytosterol absorption. The discovery and research of this drug began in the early 1990s, after the intravenous administration of radiolabelled ezetimibe in rats revealed that it was being localized within enterocytes of the intestinal villi - this prompted studies investigating the effect of ezetimibe on intestinal cholesterol absorption.[A15202] Ezetimibe is used as an adjunctive therapy to a healthy diet to lower cholesterol levels in primary hyperlipidemia, mixed hyperlipidemia, homozygous familial hypercholesterolemia (HoFH), and homozygous sitosterolemia (phytosterolemia).[L11347]

Unlike other classes of cholesterol-reducing compounds including statins and bile acid sequestrants, ezetimibe has a distinct mechanism of action involving the sterol transporter Niemann-Pick C1-Like 1 (NPC1L1), and is unique in that it does not affect the absorption of fat-soluble nutrients such as fat-soluble vitamins, triglycerides, or bile acids.[A33313] In genetically NPC1L1-deficient mice, a 70% reduction in intestinal cholesterol absorption was seen, and these mice were insensitive to ezetimibe treatment - it was determined based on these findings that NPC1L1 plays an essential role in promoting intestinal cholesterol uptake via an ezetimibe-sensitive pathway.[A15202] By interfering with the intestinal uptake of cholesterol and phytosterols, ezetimibe reduces the delivery of intestinal cholesterol to the liver.[L11347]","(3R,4S)-1-(4-fluorophenyl)-3-[(3S)-3-(4-fluorophenyl)-3-hydroxypropyl]-4-(4-hydroxyphenyl)azetidin-2-one",409.4252,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,C10BA10,C10BA,Combinations of various lipid modifying agents,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",C10,LIPID MODIFYING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL1138,C61,0.412,800,37350,12645,243417,Malignant neoplasm of prostate,Ezetimibe,CHEMBL1138,DB00973,"Ezetimibe is a lipid-lowering compound that inhibits intestinal cholesterol and phytosterol absorption. The discovery and research of this drug began in the early 1990s, after the intravenous administration of radiolabelled ezetimibe in rats revealed that it was being localized within enterocytes of the intestinal villi - this prompted studies investigating the effect of ezetimibe on intestinal cholesterol absorption.[A15202] Ezetimibe is used as an adjunctive therapy to a healthy diet to lower cholesterol levels in primary hyperlipidemia, mixed hyperlipidemia, homozygous familial hypercholesterolemia (HoFH), and homozygous sitosterolemia (phytosterolemia).[L11347]

Unlike other classes of cholesterol-reducing compounds including statins and bile acid sequestrants, ezetimibe has a distinct mechanism of action involving the sterol transporter Niemann-Pick C1-Like 1 (NPC1L1), and is unique in that it does not affect the absorption of fat-soluble nutrients such as fat-soluble vitamins, triglycerides, or bile acids.[A33313] In genetically NPC1L1-deficient mice, a 70% reduction in intestinal cholesterol absorption was seen, and these mice were insensitive to ezetimibe treatment - it was determined based on these findings that NPC1L1 plays an essential role in promoting intestinal cholesterol uptake via an ezetimibe-sensitive pathway.[A15202] By interfering with the intestinal uptake of cholesterol and phytosterols, ezetimibe reduces the delivery of intestinal cholesterol to the liver.[L11347]","(3R,4S)-1-(4-fluorophenyl)-3-[(3S)-3-(4-fluorophenyl)-3-hydroxypropyl]-4-(4-hydroxyphenyl)azetidin-2-one",409.4252,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,C10BA05,C10BA,Combinations of various lipid modifying agents,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",C10,LIPID MODIFYING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL1138,C61,0.412,800,37350,12645,243417,Malignant neoplasm of prostate,Ezetimibe,CHEMBL1138,DB00973,"Ezetimibe is a lipid-lowering compound that inhibits intestinal cholesterol and phytosterol absorption. The discovery and research of this drug began in the early 1990s, after the intravenous administration of radiolabelled ezetimibe in rats revealed that it was being localized within enterocytes of the intestinal villi - this prompted studies investigating the effect of ezetimibe on intestinal cholesterol absorption.[A15202] Ezetimibe is used as an adjunctive therapy to a healthy diet to lower cholesterol levels in primary hyperlipidemia, mixed hyperlipidemia, homozygous familial hypercholesterolemia (HoFH), and homozygous sitosterolemia (phytosterolemia).[L11347]

Unlike other classes of cholesterol-reducing compounds including statins and bile acid sequestrants, ezetimibe has a distinct mechanism of action involving the sterol transporter Niemann-Pick C1-Like 1 (NPC1L1), and is unique in that it does not affect the absorption of fat-soluble nutrients such as fat-soluble vitamins, triglycerides, or bile acids.[A33313] In genetically NPC1L1-deficient mice, a 70% reduction in intestinal cholesterol absorption was seen, and these mice were insensitive to ezetimibe treatment - it was determined based on these findings that NPC1L1 plays an essential role in promoting intestinal cholesterol uptake via an ezetimibe-sensitive pathway.[A15202] By interfering with the intestinal uptake of cholesterol and phytosterols, ezetimibe reduces the delivery of intestinal cholesterol to the liver.[L11347]","(3R,4S)-1-(4-fluorophenyl)-3-[(3S)-3-(4-fluorophenyl)-3-hydroxypropyl]-4-(4-hydroxyphenyl)azetidin-2-one",409.4252,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,C10BA12,C10BA,Combinations of various lipid modifying agents,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",C10,LIPID MODIFYING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL1138,C61,0.412,800,37350,12645,243417,Malignant neoplasm of prostate,Ezetimibe,CHEMBL1138,DB00973,"Ezetimibe is a lipid-lowering compound that inhibits intestinal cholesterol and phytosterol absorption. The discovery and research of this drug began in the early 1990s, after the intravenous administration of radiolabelled ezetimibe in rats revealed that it was being localized within enterocytes of the intestinal villi - this prompted studies investigating the effect of ezetimibe on intestinal cholesterol absorption.[A15202] Ezetimibe is used as an adjunctive therapy to a healthy diet to lower cholesterol levels in primary hyperlipidemia, mixed hyperlipidemia, homozygous familial hypercholesterolemia (HoFH), and homozygous sitosterolemia (phytosterolemia).[L11347]

Unlike other classes of cholesterol-reducing compounds including statins and bile acid sequestrants, ezetimibe has a distinct mechanism of action involving the sterol transporter Niemann-Pick C1-Like 1 (NPC1L1), and is unique in that it does not affect the absorption of fat-soluble nutrients such as fat-soluble vitamins, triglycerides, or bile acids.[A33313] In genetically NPC1L1-deficient mice, a 70% reduction in intestinal cholesterol absorption was seen, and these mice were insensitive to ezetimibe treatment - it was determined based on these findings that NPC1L1 plays an essential role in promoting intestinal cholesterol uptake via an ezetimibe-sensitive pathway.[A15202] By interfering with the intestinal uptake of cholesterol and phytosterols, ezetimibe reduces the delivery of intestinal cholesterol to the liver.[L11347]","(3R,4S)-1-(4-fluorophenyl)-3-[(3S)-3-(4-fluorophenyl)-3-hydroxypropyl]-4-(4-hydroxyphenyl)azetidin-2-one",409.4252,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,C10AX09,C10AX,Other lipid modifying agents,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10,LIPID MODIFYING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL1138,C61,0.412,800,37350,12645,243417,Malignant neoplasm of prostate,Ezetimibe,CHEMBL1138,DB00973,"Ezetimibe is a lipid-lowering compound that inhibits intestinal cholesterol and phytosterol absorption. The discovery and research of this drug began in the early 1990s, after the intravenous administration of radiolabelled ezetimibe in rats revealed that it was being localized within enterocytes of the intestinal villi - this prompted studies investigating the effect of ezetimibe on intestinal cholesterol absorption.[A15202] Ezetimibe is used as an adjunctive therapy to a healthy diet to lower cholesterol levels in primary hyperlipidemia, mixed hyperlipidemia, homozygous familial hypercholesterolemia (HoFH), and homozygous sitosterolemia (phytosterolemia).[L11347]

Unlike other classes of cholesterol-reducing compounds including statins and bile acid sequestrants, ezetimibe has a distinct mechanism of action involving the sterol transporter Niemann-Pick C1-Like 1 (NPC1L1), and is unique in that it does not affect the absorption of fat-soluble nutrients such as fat-soluble vitamins, triglycerides, or bile acids.[A33313] In genetically NPC1L1-deficient mice, a 70% reduction in intestinal cholesterol absorption was seen, and these mice were insensitive to ezetimibe treatment - it was determined based on these findings that NPC1L1 plays an essential role in promoting intestinal cholesterol uptake via an ezetimibe-sensitive pathway.[A15202] By interfering with the intestinal uptake of cholesterol and phytosterols, ezetimibe reduces the delivery of intestinal cholesterol to the liver.[L11347]","(3R,4S)-1-(4-fluorophenyl)-3-[(3S)-3-(4-fluorophenyl)-3-hydroxypropyl]-4-(4-hydroxyphenyl)azetidin-2-one",409.4252,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,C10BA06,C10BA,Combinations of various lipid modifying agents,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",C10,LIPID MODIFYING AGENTS,C,CARDIOVASCULAR SYSTEM
