Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL107201,Chembl107201,
CHEMBL1097894,Chembl1097894,
CHEMBL1106,Epinastine,4.0
CHEMBL1187724,Methylatropine,4.0
CHEMBL12318,Clodronic Acid,3.0
CHEMBL1235084,Chembl1235084,
CHEMBL1235570,Chembl1235570,
CHEMBL1237104,Propoxyphene Hydrochloride,4.0
CHEMBL127071,Pozanicline,2.0
CHEMBL139050,2-(Carboxyformamido)Benzoic Acid,
CHEMBL14053,Trichloroacetic Acid,4.0
CHEMBL1476605,Clofoctol,2.0
CHEMBL1614644,Imipraminoxide,2.0
CHEMBL1692,Imipramine Hydrochloride,4.0
CHEMBL17860,Lofexidine,4.0
CHEMBL1818384,Chembl1818384,
CHEMBL189171,Acemetacin,4.0
CHEMBL1921904,Azd-9164,2.0
CHEMBL200102,Pu-H71,2.0
CHEMBL2031311,Chembl2031311,
CHEMBL2103828,Elinogrel,2.0
CHEMBL2105671,Afegostat Tartrate,2.0
CHEMBL2106406,Dersalazine,2.0
CHEMBL2107433,Iroxanadine,2.0
CHEMBL2107792,Valategrast,2.0
CHEMBL2110895,Biphenamine,2.0
CHEMBL2110987,Metoserpate,-1.0
CHEMBL211487,Chembl211487,
CHEMBL2180985,Chembl2180985,
CHEMBL223147,Chembl223147,
CHEMBL227937,Chembl227937,
CHEMBL2322664,Chembl2322664,
CHEMBL239800,Fenobam Anhydrous,2.0
CHEMBL271068,Rosabulin,2.0
CHEMBL293700,Chembl293700,
CHEMBL3093588,Chembl3093588,
CHEMBL3093927,Chembl3093927,
CHEMBL3184679,Azd-4547,2.0
CHEMBL319111,Linopirdine,2.0
CHEMBL3260771,Bgc-20-1531,2.0
CHEMBL3261331,Resmetirom,3.0
CHEMBL3287379,Contezolid,2.0
CHEMBL3301609,Toreforant,2.0
CHEMBL3400972,Fluorodopa F 18,4.0
CHEMBL345237,Piclozotan,2.0
CHEMBL3545233,Pavinetant,2.0
CHEMBL364215,Chembl364215,
CHEMBL3649803,Amelparib,2.0
CHEMBL379287,Chembl379287,
CHEMBL389907,Chembl389907,
CHEMBL3951811,Cep-37440,1.0
CHEMBL397184,Chembl397184,
CHEMBL4064608,Chembl4064608,
CHEMBL4078098,Chembl4078098,
CHEMBL4090674,Chembl4090674,
CHEMBL4292474,Chembl4292474,
CHEMBL4298154,Oxycodegol Phosphate,1.0
CHEMBL4300558,Besigliptin,2.0
CHEMBL45844,Cyclobutyl(Cyclopentyl)Formamide,
CHEMBL459324,Diacetylmorphine,4.0
CHEMBL4594420,Luxeptinib,1.0
CHEMBL460102,Chembl460102,
CHEMBL4650272,Trilaciclib Dihydrochloride,4.0
CHEMBL475594,Chembl475594,
CHEMBL504760,Camphor,4.0
CHEMBL5095167,Befotertinib,2.0
CHEMBL515606,Cilazapril,4.0
CHEMBL525239,Trans-Zeatin,
CHEMBL5314466,Gumelutamide,2.0
CHEMBL559638,Chembl559638,
CHEMBL566315,Obeticholic Acid,4.0
CHEMBL588046,Quinine Hydrochloride,4.0
CHEMBL70046,Sorivudine,4.0
CHEMBL711,Phenindione,4.0
CHEMBL7390,Chembl7390,
CHEMBL85,Risperidone,4.0
CHEMBL915,Nedocromil Sodium,4.0
CHEMBL94431,Chembl94431,
CHEMBL108766,Dodecanoate,
CHEMBL1113,Amoxapine,4.0
CHEMBL1160192,Chembl1160192,
CHEMBL117,Chrysin,
CHEMBL1182247,Didecyldimethylammonium,-1.0
CHEMBL1200454,Valganciclovir Hydrochloride,4.0
CHEMBL1200678,Atazanavir Sulfate,4.0
CHEMBL1201225,Iodine,4.0
CHEMBL1209734,Bms-986094,2.0
CHEMBL1222398,Tryptophanol,
CHEMBL1230421,Chembl1230421,
CHEMBL134702,Butane,1.0
CHEMBL1354,Sodium Acetate,4.0
CHEMBL1371937,Panthenol,3.0
CHEMBL1441570,Chembl1441570,
CHEMBL148732,Chembl148732,
CHEMBL1489079,Chembl1489079,
CHEMBL153192,Bromochlorosalicylanilide,-1.0
CHEMBL1611291,Chembl1611291,
CHEMBL1643901,Chembl1643901,
CHEMBL1661,Lactitol,4.0
CHEMBL1684,Bendroflumethiazide,4.0
CHEMBL169186,Chembl169186,
CHEMBL171246,2-Oxo-Butyric Acid,
CHEMBL1793895,Chembl1793895,
CHEMBL183919,Chembl183919,
CHEMBL189,Milrinone,4.0
CHEMBL1987518,Ensulizole,2.0
CHEMBL2103796,Berubicin Hydrochloride,2.0
CHEMBL2105385,Phenoperidine,2.0
CHEMBL213194,Chembl213194,
CHEMBL221427,Chembl221427,
CHEMBL2315936,Chembl2315936,
CHEMBL242341,Formononetin,2.0
CHEMBL256732,Chembl256732,
CHEMBL258805,Su-9516,1.0
CHEMBL260313,Chembl260313,
CHEMBL260531,Chembl260531,
CHEMBL278315,Geldanamycin,2.0
CHEMBL279260,Rafabegron,2.0
CHEMBL304902,Clothiapine,4.0
CHEMBL3137304,Dagrocorat,2.0
CHEMBL316160,Pamabrom,-1.0
CHEMBL3183740,Trelanserin,2.0
CHEMBL3234750,Chembl3234750,
CHEMBL329536,Chembl329536,
CHEMBL34921,Chembl34921,
CHEMBL3586436,Chembl3586436,
