Drug,cluster,Selectivity_Score,entropy_sel_n,gini_sel_n,kurt_n,gap_n,sr_n,Type,x,y,Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL1000,1,0.23544052926034137,0.1344836516013291,0.001785797773729072,0.16210203738211276,0.407149926532067,0.3759796083614964,Type II: Moderate poly-target,-1.5835894,0.6120762,CHEMBL1000,Cetirizine,4.0
CHEMBL100014,0,0.058501103482976935,0.051744140520783535,0.0004905936434667509,0.21269271452346547,0.004283523169907945,0.004743485008559508,Type III: Broad-spectrum,14.310394,1.0971866,CHEMBL100014,An-9,2.0
CHEMBL100109,0,0.1538390573734485,0.1944065441733304,0.0025419081776297085,0.1780180562160138,0.07210876992698088,0.0646255205521239,Type III: Broad-spectrum,6.2694526,5.1306124,CHEMBL100109,Chembl100109,
CHEMBL100116,0,0.14987870952409232,0.16051403793652397,0.002313927741329996,0.20857540437549116,0.028949626355001756,0.02371319268465899,Type III: Broad-spectrum,8.61878,4.62667,CHEMBL100116,Pentazocine,4.0
CHEMBL1002,0,0.12662699988801335,0.15586275128016633,0.001988865183841586,0.22920297968964826,0.052842069590302514,0.05166191065723637,Type III: Broad-spectrum,8.4025345,4.522439,CHEMBL1002,Levosalbutamol,4.0
CHEMBL100231,0,0.12112862066263289,0.0770428934866012,0.0012753665443073223,0.1275840609850281,0.05368748175921939,0.04468332132248343,Type III: Broad-spectrum,10.615496,0.56468064,CHEMBL100231,Chembl100231,
CHEMBL100239,0,0.13138223081144168,0.13792685783980613,0.0019322522584885096,0.27728921841786075,0.03750010591821507,0.034474227518564084,Type III: Broad-spectrum,8.6159315,4.7555084,CHEMBL100239,Tcmdc-131943,
CHEMBL100259,2,0.2845388005659135,0.4941858875546424,0.012934037929008492,0.7534890258147675,0.020829371710297986,0.018899304448901106,Type I: Highly Selective,1.9103773,11.073517,CHEMBL100259,Uridine,3.0
CHEMBL1003,2,0.1584496498712794,0.2152664163300337,0.0033693371255302884,0.3907306506883892,0.014166622036473153,0.01304514201435364,Type I: Highly Selective,6.43035,8.739769,CHEMBL1003,Clavulanate Potassium,4.0
CHEMBL1004,0,0.10952296973724993,0.14717464298724228,0.0018075781313120081,0.21523681311705425,0.029669480011814957,0.030039377986335953,Type III: Broad-spectrum,10.458037,4.167463,CHEMBL1004,Doxylamine,4.0
CHEMBL10041,1,0.1620286842143142,0.10330470052063115,0.0010294263475623528,0.10733587499144599,0.18600173865112138,0.1599462070961638,Type II: Moderate poly-target,4.294979,0.23558313,CHEMBL10041,Afimoxifene,
CHEMBL1005,2,0.18904830402204087,0.19775993348329432,0.0033996487977243266,0.4119786924668497,0.08579464989291001,0.07416434484470835,Type I: Highly Selective,4.168644,7.524157,CHEMBL1005,Remifentanil,4.0
CHEMBL100595,0,0.13144393321594916,0.10746813036086333,0.00214479846341681,0.16548826594749835,0.041057927177103305,0.03396504003845162,Type III: Broad-spectrum,9.730641,2.1833382,CHEMBL100595,Chembl100595,
CHEMBL1006,0,0.09378279677792384,0.11336885185786999,0.0014337310837953068,0.2432167106508396,0.020312114065946057,0.021278241540069034,Type III: Broad-spectrum,12.217382,4.0072784,CHEMBL1006,Amifostine,4.0
CHEMBL100617,0,0.1436693985287657,0.10243019360368626,0.0015763372625817746,0.15670703615161755,0.09356313757095218,0.0780114387864732,Type III: Broad-spectrum,7.9198675,1.3335886,CHEMBL100617,Chembl100617,
CHEMBL100622,0,0.0630205070512679,0.02093692309683359,0.00016344809502495872,0.2080941453785975,0.018410015229921143,0.019123057730372695,Type III: Broad-spectrum,14.409916,1.3887408,CHEMBL100622,Hexamethonium,2.0
CHEMBL1007,0,0.16017623367507472,0.09460749024667603,0.0011737101597585832,0.29635389116455774,0.1444738122445221,0.12806054722062604,Type III: Broad-spectrum,4.969256,2.7784636,CHEMBL1007,Gonadorelin,4.0
CHEMBL100763,0,0.15164995683850535,0.08762191946308386,0.0011633233292600894,0.15789015616527416,0.12955830992460401,0.10728867936126602,Type III: Broad-spectrum,6.3842964,0.613008,CHEMBL100763,Chembl100763,
CHEMBL1008,1,0.17294372648429035,0.11600647738968188,0.0013608043446411019,0.25909395041161115,0.20073094555543516,0.18658925531125647,Type II: Moderate poly-target,3.0258284,1.824025,CHEMBL1008,Bepridil,4.0
CHEMBL1009,1,0.15882715035299744,0.13393827508332729,0.0014868671791281485,0.08361266607912803,0.1834078218161885,0.16673299618349796,Type II: Moderate poly-target,4.1022186,0.47258237,CHEMBL1009,Levodopa,4.0
CHEMBL101,0,0.10118376016262615,0.1275133387597344,0.001600805724188435,0.2311354855898546,0.00889784659987625,0.008853796059324964,Type III: Broad-spectrum,11.476492,3.9860013,CHEMBL101,Phenylbutazone,4.0
CHEMBL1010,0,0.108696829707013,0.09356703245167165,0.0011655881541625256,0.24502402549642835,0.002593411754374824,0.0023173028631779157,Type III: Broad-spectrum,12.652141,3.887391,CHEMBL1010,Cefotaxime Sodium,4.0
CHEMBL101083,0,0.1486654410625689,0.1042957758307148,0.0016627093774877282,0.14148395148207898,0.10635854528026958,0.08773531331970233,Type III: Broad-spectrum,6.9879885,1.1514907,CHEMBL101083,Chembl101083,
CHEMBL10118,1,0.18893048026812592,0.16115763309804507,0.0035319772264104958,0.24007575361216088,0.16040303203131,0.13494966108737066,Type II: Moderate poly-target,3.2071712,3.6049256,CHEMBL10118,Famoxadone,
