Drug Name,ICD10,logit_or,logit_p
Dextrose,C61,0.8454954682872934,6.023344172011931e-05
Pantoprazole,C61,0.8881093302227775,0.0050595675936904
Magnesium Hydroxide,C61,0.8373364367134849,5.907152728722442e-05
Perflutren,C61,0.7774201167112954,1.6067378723703662e-08
Hydralazine,C61,0.8125756304964318,4.750561622485477e-06
Clopidogrel,C61,0.8270103253222106,3.120758749843286e-05
Aluminum Hydroxide,C61,0.8047603291863953,3.930606414839729e-06
Furosemide,C61,0.6971323310825913,1.3451479236415346e-14
Vancomycin,C61,0.6549598733215595,8.291822993378014e-20
Ipratropium,C61,0.6855372755690011,3.0810635784753545e-15
Metronidazole,C61,0.8093354194424243,1.9898044949189737e-05
Sulfur Hexafluoride,C50,0.816521051156806,6.849117940510055e-05
Mupirocin,C61,0.8953298191682828,0.0335899134677098
Sulfur Hexafluoride,C61,0.6428154790045524,7.033570056779422e-19
Valsartan,C61,0.8112435064313301,6.09287019562432e-05
Ceftriaxone,C44,0.8191683744116414,0.0001387925310017
Perflutren,C44,0.8843582715915289,0.0209947552914725
Apixaban,C61,0.7426279634274419,1.2110864539621505e-08
Acetylcysteine,C61,0.7089975421694324,4.228889260044792e-11
Lorazepam,C61,0.6221086100486637,2.247066032155643e-20
Naloxone,C61,0.814573060574778,0.0001166947934154
Carvedilol,C61,0.6565887915632704,6.560961727450203e-16
Glycopyrronium,C61,0.788811679334505,9.88400498721082e-06
Magnesium Sulfate Anhydrous,C61,0.638124960849558,1.0051610438776214e-17
Levothyroxine,C61,0.8428430883652054,0.0017253048170088
Haloperidol,C61,0.6090871463523342,2.782108741615869e-21
Guaifenesin,C61,0.7610229992560013,4.877850950895899e-07
Haloperidol,C44,0.7882770815667953,1.8144338583145913e-05
Magnesium Oxide,C61,0.6364934500568221,6.502108442601134e-17
Glycopyrronium,C44,0.8265327102336611,0.0006705600392034
Esomeprazole,C61,0.8852396426439976,0.0317810823906694
Folic Acid,C61,0.6265889976269622,6.797327161421792e-18
Nitroglycerin,C61,0.625971313656379,6.227185542136436e-18
Apixaban,C50,0.85560381943728,0.0066246710549603
Cefepime,C61,0.5424147195127319,3.0419649625172124e-29
Sulfur Hexafluoride,C44,0.8148971081516106,0.0004312086622781
Calcium Gluconate,C61,0.5639431881048825,9.86244421668861e-25
Apixaban,C44,0.875463179867453,0.0257075345094651
Fentanyl,C50,0.8835809422328454,0.0415213157583576
Warfarin,C61,0.7179613500272645,3.69738738623811e-08
Menthol,C61,0.7753515569616223,2.9003923736920553e-05
Cefepime,C44,0.7924539465511511,0.0001448970231459
Neostigmine,C61,0.8076237899967443,0.0005262218557853
Neostigmine,C44,0.8802889732313133,0.0415901837477589
Ezetimibe,C61,0.8059745823673891,0.0005127111096873
Benzocaine,C61,0.7622980807664014,9.989170891311554e-06
Nitroglycerin,C44,0.8473805173804976,0.0088726983816013
Rivaroxaban,C61,0.7368703573853429,1.0157054116741875e-06
Nifedipine,C61,0.7816226677349543,0.0001024857140876
Calcium Gluconate,C44,0.7821908287061073,0.0001238691317274
Ampicillin,C50,0.8447355363775703,0.0099401379251933
Ampicillin,C61,0.821704448230807,0.0031892471724474
Nystatin,C61,0.7285292328332803,1.532775326099202e-06
Melatonin,C50,0.7551442770909189,2.3896514786718247e-05
Clindamycin,C61,0.7936289230169262,0.0005555740509817
Tazobactam,C61,0.5563011479648701,1.8750380178336604e-19
Piperacillin,C61,0.5325863682898202,2.1384702896586306e-22
Piperacillin,C44,0.7720263840830605,0.0001607572500022
Trazodone,C61,0.6691891071172767,2.376847300276878e-09
Tazobactam,C44,0.8216110608239819,0.0044979410467908
Diltiazem,C61,0.7631793609713767,9.74105938541455e-05
Bacitracin,C61,0.5114581256410153,2.9015557462589913e-24
Isosorbide,C61,0.6241304347827843,3.741730805922161e-12
Ascorbic Acid,C61,0.6496292149515872,3.2744649478702487e-10
Dexmedetomidine,C61,0.5574227407260136,1.0722952332989993e-17
Amiodarone,C61,0.4997714008680137,1.1069231390853538e-24
Melatonin,C61,0.617493342834949,3.0199993320375162e-12
Colchicine,C61,0.804521087652689,0.0028526770694677
Fentanyl,C61,0.5451402840537153,1.1106673315242822e-17
Dexmedetomidine,C44,0.7727243385612054,0.0005583518930034
Melatonin,C44,0.6797210926252714,1.5425451440005105e-07
Dextromethorphan,C61,0.8256696432023051,0.0114125188754043
Escitalopram,C61,0.8200461695060949,0.0104654123949814
Thiamine Ion,C50,0.8094544099269322,0.0063922319938414
Celecoxib,C61,0.8246043639175576,0.0132697242704162
Spironolactone,C61,0.5803602459196693,3.162564593201566e-13
Amiodarone,C44,0.6376959203607239,3.67013239737829e-09
Chlorhexidine,C61,0.5317924002239566,3.768295664675466e-17
Gentamicin,C44,0.7946617263007179,0.0037163684367701
Tiotropium,C61,0.8317672327683576,0.022342674433921
Cefpodoxime Proxetil,C50,0.8141004137314841,0.0102696189276258
Chlorhexidine,C50,0.8484943380772357,0.0418522834704286
Thiamine Ion,C61,0.4395370799750133,4.786111147393009e-28
,C61,0.734313335264308,0.0001499532404081
Thiamine Ion,C44,0.7480588768099494,0.0003917337095104
Tazobactam,C47,0.8105698491623504,0.0124354196181878
Piperacillin,C47,0.7772817760037118,0.0025581149040127
Pregabalin,C61,0.748454965538789,0.00055519704752
Sulbactam,C61,0.7255389351331447,0.0001265229459848
Levetiracetam,C50,0.774584449004292,0.0026166341382135
Citric Acid,C50,0.7570040273405166,0.0010261333650118
Ramelteon,C61,0.6293047989653303,2.8235892185013593e-08
Isosorbide,C44,0.7901505866431598,0.0061952381328303
Mirtazapine,C61,0.7484777063127886,0.0007450286260126
Clonazepam,C61,0.7407815559824944,0.0004745686425642
Bupropion,C61,0.8331980671469255,0.0370849765905012
Cefpodoxime Proxetil,C44,0.8237181849840085,0.0265593524734129
