,query,matched,score,ModelID,StrippedCellLineName
0,ES5,ES5,100.0,ACH-002106,ES5
1,ES7,ES7,100.0,ACH-002108,ES7
2,EW-11,EW11,88.88888888888889,ACH-002111,EW11
3,SK-ES-1,SKES1,83.33333333333333,ACH-000087,SKES1
4,COLO-829,COLO829,93.33333333333333,ACH-000644,COLO829
5,8-MG-BA,8MGBA,83.33333333333333,ACH-000137,8MGBA
6,GB-1,GB1,85.71428571428571,ACH-000738,GB1
7,U-87-MG,U87MG,83.33333333333333,ACH-000075,U87MG
8,NCI-H720,NCIH720,93.33333333333333,ACH-002174,NCIH720
9,NCI-H1648,NCIH1648,94.11764705882354,ACH-000766,NCIH1648
10,NCI-H1650,NCIH1650,94.11764705882354,ACH-000035,NCIH1650
11,NCI-H1770,NCIH1770,94.11764705882354,ACH-001362,NCIH1770
12,NCI-H1838,NCIH1838,94.11764705882354,ACH-000733,NCIH1838
13,DMS-114,DMS114,92.3076923076923,ACH-000530,DMS114
14,NCI-H1092,NCIH1092,94.11764705882354,ACH-000514,NCIH1092
15,NCI-H1694,NCIH1694,94.11764705882354,ACH-000431,NCIH1694
16,NCI-H187,NCIH187,93.33333333333333,ACH-001136,NCIH187
17,NCI-H1963,NCIH1963,94.11764705882354,ACH-000729,NCIH1963
18,NCI-H209,NCIH209,93.33333333333333,ACH-000290,NCIH209
19,NCI-H2141,NCIH2141,94.11764705882354,ACH-001138,NCIH2141
20,NCI-H2171,NCIH2171,94.11764705882354,ACH-000525,NCIH2171
21,NCI-H2227,NCIH2227,94.11764705882354,ACH-000610,NCIH2227
22,NCI-H345,NCIH345,93.33333333333333,ACH-001364,NCIH345
23,NCI-H446,NCIH446,93.33333333333333,ACH-000800,NCIH446
24,NCI-H526,NCIH526,93.33333333333333,ACH-000767,NCIH526
25,NCI-H64,NCIH64,92.3076923076923,ACH-001599,NCIH64
26,NCI-H69,NCIH69,92.3076923076923,ACH-000358,NCIH69
27,NCI-H82,NCIH82,92.3076923076923,ACH-000355,NCIH82
28,SK-N-DZ,SKNDZ,83.33333333333333,ACH-000366,SKNDZ
29,SK-N-FI,SKNFI,83.33333333333333,ACH-000341,SKNFI
30,VA-ES-BJ,VAESBJ,85.71428571428571,ACH-001702,VAESBJ
31,LU-139,LU139,90.9090909090909,ACH-002052,LU139
32,SBC-1,SBC1,88.88888888888889,ACH-002196,SBC1
33,Calu-6,,,,
34,LU-65,LU65,88.88888888888889,ACH-000438,LU65
35,NCI-H1355,NCIH1355,94.11764705882354,ACH-000666,NCIH1355
36,SHP-77,SHP77,90.9090909090909,ACH-000790,SHP77
37,TE-5,TE5,85.71428571428571,ACH-000408,TE5
38,HCC1187,HCC1187,100.0,ACH-000111,HCC1187
39,HCC1599,HCC1599,100.0,ACH-000196,HCC1599
40,HCC2157,HCC2157,100.0,ACH-000691,HCC2157
41,HCC2218,HCC2218,100.0,ACH-000755,HCC2218
42,BB30-HNC,BB30HNC,93.33333333333333,ACH-002212,BB30HNC
43,BB49-HNC,BB49HNC,93.33333333333333,ACH-002213,BB49HNC
44,CP66-MEL,CP66MEL,93.33333333333333,ACH-002097,CP66MEL
45,CPC-N,CPCN,88.88888888888889,ACH-001049,CPCN
46,CTV-1,CTV1,88.88888888888889,ACH-002222,CTV1
47,D-542MG,D542MG,92.3076923076923,ACH-002230,D542MG
48,DMS-79,DMS79,90.9090909090909,ACH-000703,DMS79
49,DSH1,DSH1,100.0,ACH-002235,DSH1
50,EC-GI-10,ECGI10,85.71428571428571,ACH-000305,ECGI10
51,HA7-RCC,HA7RCC,92.3076923076923,ACH-002139,HA7RCC
52,IM-9,IM9,85.71428571428571,ACH-002247,IM9
53,IST-SL1,ISTSL1,92.3076923076923,ACH-002144,ISTSL1
54,IST-SL2,ISTSL2,92.3076923076923,ACH-002145,ISTSL2
55,LB1047-RCC,LB1047RCC,94.73684210526315,ACH-002150,LB1047RCC
56,LB2241-RCC,LB2241RCC,94.73684210526315,ACH-002151,LB2241RCC
57,LB2518-MEL,LB2518MEL,94.73684210526315,ACH-002152,LB2518MEL
58,LB373-MEL-D,LB373MELD,90.0,ACH-002153,LB373MELD
59,LB647-SCLC,LB647SCLC,94.73684210526315,ACH-002154,LB647SCLC
60,LB771-HNC,LB771HNC,94.11764705882354,ACH-002265,LB771HNC
61,LB831-BLC,LB831BLC,94.11764705882354,ACH-002266,LB831BLC
62,LB996-RCC,LB996RCC,94.11764705882354,ACH-002155,LB996RCC
63,LU-134-A,LU134A,85.71428571428571,ACH-002051,LU134A
64,LU-165,LU165,90.9090909090909,ACH-002077,LU165
65,LXF-289,LXF289,92.3076923076923,ACH-000787,LXF289
66,MS-1,MS1,85.71428571428571,ACH-001131,MS1
67,MS-1,MS1,85.71428571428571,ACH-001958,MS1
68,MZ1-PC,MZ1PC,90.9090909090909,ACH-002164,MZ1PC
69,MZ7-mel,,,,
70,NCI-H128,NCIH128,93.33333333333333,ACH-002286,NCIH128
71,NCI-H1304,NCIH1304,94.11764705882354,ACH-002169,NCIH1304
72,SK-MM-2,SKMM2,83.33333333333333,ACH-000363,SKMM2
73,TE-15,TE15,88.88888888888889,ACH-000353,TE15
74,U-266,,,,
75,BE2-M17,BE2M17,92.3076923076923,ACH-002217,BE2M17
76,KELLY,KELLY,100.0,ACH-000259,KELLY
77,SIMA,SIMA,100.0,ACH-000099,SIMA
78,TE-1,TE1,85.71428571428571,ACH-000647,TE1
79,TE-10,TE10,88.88888888888889,ACH-000318,TE10
80,TE-8,TE8,85.71428571428571,ACH-000452,TE8
81,HL-60,HL60,88.88888888888889,ACH-000002,HL60
82,K-562,K562,88.88888888888889,ACH-000551,K562
83,NCI-H226,NCIH226,93.33333333333333,ACH-000367,NCIH226
84,NCI-H23,NCIH23,92.3076923076923,ACH-000900,NCIH23
85,CCRF-CEM,CCRFCEM,93.33333333333333,ACH-001738,CCRFCEM
86,SK-MEL-2,SKMEL2,85.71428571428571,ACH-001190,SKMEL2
87,MOLT-4,MOLT4,90.9090909090909,ACH-001127,MOLT4
88,RPMI-8226,RPMI8226,94.11764705882354,ACH-000817,RPMI8226
89,SR,,,,
90,NCI-H322M,NCIH322M,94.11764705882354,ACH-002172,NCIH322M
91,EKVX,EKVX,100.0,ACH-000706,EKVX
92,HCC2998,HCC2998,100.0,ACH-001081,HCC2998
93,HOP-62,HOP62,90.9090909090909,ACH-000861,HOP62
94,LOXIMVI,LOXIMVI,100.0,ACH-000750,LOXIMVI
95,UACC-257,UACC257,93.33333333333333,ACH-000579,UACC257
96,RXF393,RXF393,100.0,ACH-002195,RXF393
97,TK10,TK10,100.0,ACH-001208,TK10
98,SNB75,SNB75,100.0,ACH-000504,SNB75
99,SF539,SF539,100.0,ACH-000273,SF539
100,SF268,SF268,100.0,ACH-000655,SF268
101,KM12,KM12,100.0,ACH-000969,KM12
102,OVCAR-4,OVCAR4,92.3076923076923,ACH-000617,OVCAR4
103,Becker,,,,
104,BE-13,BE13,88.88888888888889,ACH-002216,BE13
105,ARH-77,ARH77,90.9090909090909,ACH-002210,ARH77
106,A253,A253,100.0,ACH-000740,A253
107,697,697,100.0,ACH-000070,697
108,COR-L88,CORL88,92.3076923076923,ACH-000508,CORL88
109,COLO-824,COLO824,93.33333333333333,ACH-001820,COLO824
110,COLO-800,COLO800,93.33333333333333,ACH-000401,COLO800
111,Daudi,,,,
112,DB,DB,100.0,ACH-000334,DB
113,D-283MED,D283MED,93.33333333333333,ACH-000055,D283MED
114,DEL,DEL,100.0,ACH-000233,DEL
115,DG-75,DG75,88.88888888888889,ACH-002232,DG75
116,DJM-1,DJM1,88.88888888888889,ACH-002100,DJM1
117,DOHH-2,DOHH2,90.9090909090909,ACH-000056,DOHH2
118,DU-4475,DU4475,92.3076923076923,ACH-000258,DU4475
119,EB2,EB2,100.0,ACH-001064,EB2
120,EB-3,EB3,85.71428571428571,ACH-002236,EB3
121,ECC12,ECC12,100.0,ACH-000225,ECC12
122,EHEB,EHEB,100.0,ACH-000038,EHEB
123,EM-2,EM2,85.71428571428571,ACH-000295,EM2
124,EoL-1-cell,,,,
125,ETK-1,ETK1,88.88888888888889,ACH-002237,ETK1
126,EVSA-T,EVSAT,90.9090909090909,ACH-001065,EVSAT
127,GCIY,GCIY,100.0,ACH-000047,GCIY
128,GDM-1,GDM1,88.88888888888889,ACH-000081,GDM1
129,GI-1,GI1,85.71428571428571,ACH-000756,GI1
130,GI-ME-N,GIMEN,83.33333333333333,ACH-001344,GIMEN
131,GOTO,GOTO,100.0,ACH-001716,GOTO
132,GR-ST,GRST,88.88888888888889,ACH-002238,GRST
133,H9,H9,100.0,ACH-002240,H9
134,HC-1,HC1,85.71428571428571,ACH-002242,HC1
135,HEL,HEL,100.0,ACH-000004,HEL
136,HH,HH,100.0,ACH-000061,HH
137,HT,HT,100.0,ACH-000914,HT
138,HT-144,HT144,90.9090909090909,ACH-000322,HT144
139,HuTu-80,,,,
140,IMR-5,IMR5,88.88888888888889,ACH-002248,IMR5
141,IST-MEL1,ISTMEL1,93.33333333333333,ACH-002143,ISTMEL1
142,IST-MES1,ISTMES1,93.33333333333333,ACH-000569,ISTMES1
143,JAR,JAR,100.0,ACH-001529,JAR
144,JiyoyeP-2003,,,,
145,JVM-2,JVM2,88.88888888888889,ACH-000106,JVM2
146,JVM-3,JVM3,88.88888888888889,ACH-000346,JVM3
147,KALS-1,KALS1,90.9090909090909,ACH-000231,KALS1
148,KARPAS-45,KARPAS45,94.11764705882354,ACH-002256,KARPAS45
149,KARPAS-299,KARPAS299,94.73684210526315,ACH-000053,KARPAS299
150,KARPAS-422,KARPAS422,94.73684210526315,ACH-000315,KARPAS422
151,KASUMI-1,KASUMI1,93.33333333333333,ACH-000263,KASUMI1
152,KE-37,KE37,88.88888888888889,ACH-000101,KE37
153,KG-1,KG1,85.71428571428571,ACH-000386,KG1
154,KINGS-1,KINGS1,92.3076923076923,ACH-002257,KINGS1
155,KMOE-2,KMOE2,90.9090909090909,ACH-002258,KMOE2
156,KNS-42,KNS42,90.9090909090909,ACH-000622,KNS42
157,H-EMC-SS,HEMCSS,85.71428571428571,ACH-001519,HEMCSS
158,KY821,KY821,100.0,ACH-002262,KY821
159,KU812,KU812,100.0,ACH-000074,KU812
160,KS-1,KS1,85.71428571428571,ACH-000631,KS1
161,KP-N-YN,KPNYN,83.33333333333333,ACH-000227,KPNYN
162,L-428,L428,88.88888888888889,ACH-000754,L428
163,L-540,L540,88.88888888888889,ACH-000806,L540
164,LAMA-84,LAMA84,92.3076923076923,ACH-000301,LAMA84
165,LC-2-ad,,,,
166,LC4-1,LC41,88.88888888888889,ACH-002267,LC41
167,LNCaP-Clone-FGC,,,,
168,LOUCY,LOUCY,100.0,ACH-000104,LOUCY
169,LP-1,LP1,85.71428571428571,ACH-000204,LP1
170,LS-123,LS123,90.9090909090909,ACH-000501,LS123
171,LS-411N,LS411N,92.3076923076923,ACH-000985,LS411N
172,LS-513,LS513,90.9090909090909,ACH-000007,LS513
173,MC116,MC116,100.0,ACH-000583,MC116
174,MEG-01,MEG01,90.9090909090909,ACH-000072,MEG01
175,MHH-NB-11,MHHNB11,87.5,ACH-000078,MHHNB11
176,MHH-PREB-1,MHHPREB1,88.88888888888889,ACH-002272,MHHPREB1
177,ML-2,ML2,85.71428571428571,ACH-002273,ML2
178,MLMA,MLMA,100.0,ACH-002274,MLMA
179,MN-60,MN60,88.88888888888889,ACH-002275,MN60
180,MOLT-16,MOLT16,92.3076923076923,ACH-000918,MOLT16
181,MONO-MAC-6,MONOMAC6,88.88888888888889,ACH-000006,MONOMAC6
182,Mo-T,,,,
183,MPP-89,MPP89,90.9090909090909,ACH-000319,MPP89
184,MRK-nu-1,,,,
185,MSTO-211H,MSTO211H,94.11764705882354,ACH-000335,MSTO211H
186,MV-4-11,MV411,83.33333333333333,ACH-000045,MV411
187,NALM-6,NALM6,90.9090909090909,ACH-000938,NALM6
188,NAMALWA,NAMALWA,100.0,ACH-000944,NAMALWA
189,NB69,NB69,100.0,ACH-002083,NB69
190,NCCIT,NCCIT,100.0,ACH-001578,NCCIT
191,SNU-1,SNU1,88.88888888888889,ACH-000932,SNU1
192,SNU-5,SNU5,88.88888888888889,ACH-000303,SNU5
193,SNU-16,SNU16,90.9090909090909,ACH-000581,SNU16
194,NH-12,NH12,88.88888888888889,ACH-001603,NH12
195,NKM-1,NKM1,88.88888888888889,ACH-002290,NKM1
196,NMC-G1,NMCG1,90.9090909090909,ACH-000200,NMCG1
197,no-11,,,,
198,NOMO-1,NOMO1,90.9090909090909,ACH-000168,NOMO1
199,no-10,,,,
200,NTERA-2-cl-D1,,,,
201,NCI-H747,NCIH747,93.33333333333333,ACH-000403,NCIH747
202,NCI-H716,NCIH716,93.33333333333333,ACH-000491,NCIH716
203,NCI-H1155,NCIH1155,94.11764705882354,ACH-000980,NCIH1155
204,NCI-H1436,NCIH1436,94.11764705882354,ACH-000830,NCIH1436
205,NCI-H1581,NCIH1581,94.11764705882354,ACH-000015,NCIH1581
206,NCI-H1666,NCIH1666,94.11764705882354,ACH-000448,NCIH1666
207,NCI-H2081,NCIH2081,94.11764705882354,ACH-000394,NCIH2081
208,NCI-H2196,NCIH2196,94.11764705882354,ACH-000399,NCIH2196
209,NCI-H524,NCIH524,93.33333333333333,ACH-000816,NCIH524
210,NCI-H748,NCIH748,93.33333333333333,ACH-003071,NCIH748
211,ONS-76,ONS76,90.9090909090909,ACH-000776,ONS76
212,OPM-2,OPM2,88.88888888888889,ACH-000024,OPM2
213,OS-RC-2,OSRC2,83.33333333333333,ACH-000159,OSRC2
214,P30-OHK,P30OHK,92.3076923076923,ACH-002059,P30OHK
215,P31-FUJ,P31FUJ,92.3076923076923,ACH-000770,P31FUJ
216,OCUB-M,OCUBM,90.9090909090909,ACH-002179,OCUBM
217,PF-382,PF382,90.9090909090909,ACH-000937,PF382
218,Raji,,,,
219,REH,REH,100.0,ACH-000960,REH
220,RF-48,RF48,88.88888888888889,ACH-002301,RF48
221,RKO,RKO,100.0,ACH-000943,RKO
222,RPMI-6666,RPMI6666,94.11764705882354,ACH-001182,RPMI6666
223,RPMI-8402,RPMI8402,94.11764705882354,ACH-000636,RPMI8402
224,RS4-11,RS411,90.9090909090909,ACH-000874,RS411
225,SCH,SCH,100.0,ACH-002198,SCH
226,SF126,SF126,100.0,ACH-000609,SF126
227,SH-4,SH4,85.71428571428571,ACH-000441,SH4
228,SIG-M5,SIGM5,90.9090909090909,ACH-000112,SIGM5
229,SJSA-1,SJSA1,90.9090909090909,ACH-000748,SJSA1
230,SK-LMS-1,SKLMS1,85.71428571428571,ACH-000145,SKLMS1
231,SKM-1,SKM1,88.88888888888889,ACH-000373,SKM1
232,SK-MEL-1,SKMEL1,85.71428571428571,ACH-000465,SKMEL1
233,SK-PN-DW,SKPNDW,85.71428571428571,ACH-001193,SKPNDW
234,SK-UT-1,SKUT1,83.33333333333333,ACH-000939,SKUT1
235,SU-DHL-1,SUDHL1,85.71428571428571,ACH-000664,SUDHL1
236,SUP-T1,SUPT1,90.9090909090909,ACH-000953,SUPT1
237,SW684,SW684,100.0,ACH-002309,SW684
238,SW872,SW872,100.0,ACH-002310,SW872
239,SW962,SW962,100.0,ACH-002200,SW962
240,TGBC1TKB,TGBC1TKB,100.0,ACH-001861,TGBC1TKB
241,THP-1,THP1,88.88888888888889,ACH-000146,THP1
242,TUR,TUR,100.0,ACH-002314,TUR
243,U-698-M,U698M,83.33333333333333,ACH-001680,U698M
244,WSU-NHL,WSUNHL,92.3076923076923,ACH-001709,WSUNHL
245,RCC10RGB,RCC10RGB,100.0,ACH-000189,RCC10RGB
246,KURAMOCHI,KURAMOCHI,100.0,ACH-000524,KURAMOCHI
247,KM-H2,KMH2,88.88888888888889,ACH-000815,KMH2
248,Ramos-2G6-4C10,,,,
249,RPMI-8866,RPMI8866,94.11764705882354,ACH-002302,RPMI8866
250,QIMR-WIL,QIMRWIL,93.33333333333333,ACH-002299,QIMRWIL
251,PSN1,PSN1,100.0,ACH-000320,PSN1
252,CW-2,CW2,85.71428571428571,ACH-000998,CW2
253,CHP-126,CHP126,92.3076923076923,ACH-000136,CHP126
254,CGTH-W-1,CGTHW1,85.71428571428571,ACH-001023,CGTHW1
255,COLO-320-HSR,COLO320HSR,90.9090909090909,ACH-002219,COLO320HSR
256,ATN-1,ATN1,88.88888888888889,ACH-002058,ATN1
257,CESS,CESS,100.0,ACH-002218,CESS
258,COLO-684,COLO684,93.33333333333333,ACH-000864,COLO684
259,COLO-668,COLO668,93.33333333333333,ACH-000803,COLO668
260,A388,A388,100.0,ACH-001442,A388
261,C2BBe1,C2BBE1,83.33333333333333,ACH-000009,C2BBE1
262,CA46,CA46,100.0,ACH-000440,CA46
263,BALL-1,BALL1,90.9090909090909,ACH-002211,BALL1
264,BL-41,BL41,88.88888888888889,ACH-000245,BL41
265,BV-173,BV173,90.9090909090909,ACH-000432,BV173
266,TGW,TGW,100.0,ACH-001674,TGW
267,RL,RL,100.0,ACH-000371,RL
268,SNU-C1,SNUC1,90.9090909090909,ACH-000722,SNUC1
