Drug,Target,Selectivity_Score,Rank_Select,aff_local,aff_local_n,entropy_sel_n,gap_local_n,sr_local_n
CHEMBL1421,EGFR_HUMAN,0.7134062,1.0,8.1983385,0.6245192,0.8433344,0.676561,0.6760253
CHEMBL1589896,EGFR_HUMAN,0.65708715,2.0,8.344699,0.63915205,1.0,0.5123881,0.5672113
CHEMBL31965,EGFR_HUMAN,0.6464522,3.0,9.755207,0.7801725,0.48293307,1.0,1.0
CHEMBL939,EGFR_HUMAN,0.6229002,4.0,9.454366,0.7500949,0.4738164,1.0,1.0
CHEMBL101253,EGFR_HUMAN,0.62250566,5.0,8.95231,0.69990003,0.5639706,0.95032734,0.94345224
CHEMBL553,EGFR_HUMAN,0.62041956,6.0,9.509108,0.7555679,0.46070075,1.0,1.0
CHEMBL119385,EGFR_HUMAN,0.6124625,7.0,8.96256,0.7009248,0.47745115,1.0,1.0
CHEMBL483321,EGFR_HUMAN,0.6111981,8.0,9.222458,0.72690904,0.47697464,1.0,1.0
CHEMBL554,EGFR_HUMAN,0.6055765,9.0,9.243136,0.7289765,0.4655968,1.0,1.0
CHEMBL103667,EGFR_HUMAN,0.5877452,10.0,8.880779,0.69274855,0.3967253,0.96890205,0.96378565
CHEMBL3741490,EGFR_HUMAN,0.5796809,11.0,9.292456,0.73390734,0.34986988,1.0,1.0
CHEMBL259084,EGFR_HUMAN,0.5770457,12.0,8.981129,0.7027814,0.36146995,1.0,1.0
CHEMBL572881,EGFR_HUMAN,0.57507557,13.0,8.797629,0.68443537,0.42495638,0.95113957,0.943401
CHEMBL558752,EGFR_HUMAN,0.5742823,14.0,8.673208,0.67199594,0.37659317,0.9654744,0.95897365
CHEMBL215322,EGFR_HUMAN,0.5667671,15.0,8.804077,0.68508,0.3532023,0.9695246,0.964191
CHEMBL296468,EGFR_HUMAN,0.56486577,16.0,8.860474,0.6907184,0.33707422,0.97333354,0.9687642
CHEMBL1336,EGFR_HUMAN,0.564778,17.0,8.947199,0.69938916,0.3278354,1.0,1.0
CHEMBL124660,EGFR_HUMAN,0.5572546,18.0,8.622096,0.66688585,0.34583017,0.9792817,0.9749506
CHEMBL223360,EGFR_HUMAN,0.55675936,19.0,8.633925,0.66806847,0.3676757,0.951633,0.9429298
CHEMBL261720,EGFR_HUMAN,0.5547379,20.0,8.47146,0.6518255,0.22232245,1.0,1.0
CHEMBL194911,EGFR_HUMAN,0.5526568,21.0,8.960345,0.7007035,0.299157,0.9794281,0.9760479
CHEMBL4291471,EGFR_HUMAN,0.5490319,22.0,8.807888,0.68546104,0.2607156,1.0,1.0
CHEMBL475768,EGFR_HUMAN,0.5479624,23.0,8.96167,0.70083594,0.27572468,1.0,1.0
CHEMBL4280835,EGFR_HUMAN,0.5469535,24.0,8.834103,0.688082,0.279111,0.9780617,0.9741272
CHEMBL475446,EGFR_HUMAN,0.5468435,25.0,8.876307,0.6923014,0.28870028,0.98606896,0.9835393
CHEMBL91829,EGFR_HUMAN,0.54356134,26.0,9.04845,0.7095121,0.2515006,1.0,1.0
CHEMBL14762,EGFR_HUMAN,0.5432697,27.0,8.714999,0.67617416,0.23912013,0.9931851,0.991751
CHEMBL428690,EGFR_HUMAN,0.5422126,28.0,8.41326,0.64600676,0.19539915,1.0,1.0
CHEMBL1946170,EGFR_HUMAN,0.5413411,29.0,8.600092,0.6646859,0.24006675,0.9981268,0.99769276
CHEMBL475769,EGFR_HUMAN,0.54094595,30.0,8.8949175,0.69416213,0.25707823,0.9932689,0.99201584
CHEMBL2105698,EGFR_HUMAN,0.53909725,31.0,7.724975,0.577193,0.26630127,0.9261002,0.90521336
CHEMBL482193,EGFR_HUMAN,0.5366666,32.0,8.321145,0.63679725,0.21753146,0.9876763,0.984457
CHEMBL1164608,EGFR_HUMAN,0.5357162,33.0,8.15957,0.6206432,0.27221695,0.9513218,0.9393802
CHEMBL122264,EGFR_HUMAN,0.5351229,34.0,8.238461,0.6285305,0.21991153,0.9920397,0.9898211
CHEMBL2107361,EGFR_HUMAN,0.53404915,35.0,6.574168,0.4621371,0.39533964,0.81238747,0.7500195
CHEMBL3632721,EGFR_HUMAN,0.5331615,36.0,8.32142,0.6368247,0.26599434,0.95287615,0.94233346
CHEMBL4071058,EGFR_HUMAN,0.53304714,37.0,8.325815,0.63726413,0.237265,0.9758313,0.96984863
CHEMBL2105719,EGFR_HUMAN,0.5327889,38.0,8.758434,0.6805167,0.20447528,1.0,1.0
CHEMBL48796,EGFR_HUMAN,0.53204936,39.0,8.3708315,0.64176476,0.24838738,0.9481601,0.9371734
CHEMBL2063215,EGFR_HUMAN,0.53180844,40.0,8.655881,0.6702635,0.21354939,1.0,1.0
CHEMBL5314470,EGFR_HUMAN,0.5316135,41.0,8.559871,0.6606646,0.19043943,1.0,1.0
CHEMBL2110732,EGFR_HUMAN,0.53133214,42.0,8.671615,0.6718366,0.23415276,0.9779952,0.97357297
CHEMBL594288,EGFR_HUMAN,0.5312262,43.0,8.282644,0.6329479,0.2116868,0.9983466,0.99788517
CHEMBL1231574,EGFR_HUMAN,0.5310183,44.0,6.775578,0.48227376,0.4232646,0.8168459,0.76101446
CHEMBL409867,EGFR_HUMAN,0.53031546,45.0,8.810219,0.6856941,0.20195182,0.9969904,0.99638474
CHEMBL188381,EGFR_HUMAN,0.53007,46.0,7.9755836,0.6022485,0.17107518,0.9788509,0.97240686
CHEMBL4297661,EGFR_HUMAN,0.529606,47.0,8.25991,0.630675,0.18250056,1.0,1.0
CHEMBL594367,EGFR_HUMAN,0.5293599,48.0,8.284531,0.6331365,0.21131854,0.99593335,0.9948107
CHEMBL257341,EGFR_HUMAN,0.529172,49.0,8.535369,0.65821505,0.25259715,0.9587081,0.95044625
CHEMBL474431,EGFR_HUMAN,0.5288922,50.0,8.704479,0.67512244,0.22903849,0.98755383,0.98498815
CHEMBL4161600,EGFR_HUMAN,0.5285257,51.0,8.556183,0.6602959,0.23864087,0.9806137,0.97635686
CHEMBL561617,EGFR_HUMAN,0.52780753,52.0,8.202736,0.6249588,0.17623538,0.98069376,0.97545564
CHEMBL607707,EGFR_HUMAN,0.52778673,53.0,9.107288,0.7153946,0.17799176,1.0,1.0
CHEMBL415049,EGFR_HUMAN,0.52727616,54.0,7.9065394,0.59534556,0.22580042,0.92203385,0.9024927
CHEMBL217804,EGFR_HUMAN,0.52676,55.0,8.215833,0.62626827,0.18343438,0.99285096,0.9908268
