Drug Name,ICD10,odds_ratio,drug_cancer,drug_no_cancer,no_drug_cancer,no_drug_no_cancer
Quetiapine,C44,0.136,9,737,24258,269795
Quetiapine,C61,0.216,8,739,14024,280028
Ezetimibe,C61,0.412,800,37350,12645,243417
Ezetimibe,C20,0.297,113,38638,2496,253461
Ezetimibe,C22,0.317,41,38787,851,255093
Meloxicam,C20,0.253,13,5461,2694,286638
Meloxicam,C22,0.342,6,5477,923,288403
Dorzolamide,C61,0.508,35,1376,13989,279391
Oxybutynin,C22,0.27,6,6936,921,286944
Pyridoxine,C61,0.11,96,16607,13830,264160
Betamethasone,C02,0.155,6,29855,344,264601
Trazodone,C61,0.181,26,2855,14007,277912
Clonazepam,C61,0.21,10,951,14013,279816
Olanzapine,C44,0.2,15,834,24250,269698
Olanzapine,C61,0.282,12,848,14023,279919
Propranolol,C61,0.16,124,14825,13888,265942
Metoclopramide,C61,0.094,52,10734,13920,270033
Risperidone,C44,0.202,12,661,24261,269871
Risperidone,C61,0.332,11,661,14025,280106
Proguanil,C34,0.056,11,10729,5093,278973
Sacubitril,C44,0.37,66,1983,24188,268549
Sacubitril,C61,0.831,82,1973,13946,278794
Sacubitril,C50,0.334,41,2011,16818,275917
Bupropion,C61,0.249,19,1521,14023,279246
Biotin,C61,0.141,27,3786,13986,276981
Pantothenic Acid,C61,0.138,27,3876,13985,276891
Azelastine,C22,0.133,5,11496,925,282384
Nystatin,C61,0.052,17,6454,14012,274313
Apixaban,C44,0.109,11,1120,24221,269412
Apixaban,C61,0.14,8,1141,14004,279626
Apixaban,C50,0.1,7,1149,16849,276779
Formoterol,C61,0.303,65,4250,13960,276517
Ascorbic Acid,C61,0.109,118,20567,13739,260200
Ascorbic Acid,C09,0.258,7,21025,353,273414
Ascorbic Acid,C01,0.405,7,21033,225,273538
Sotalol,C50,0.419,28,1099,16843,276829
Hydroxyzine,C61,0.071,17,4735,14011,276032
Atorvastatin,C22,0.308,39,37752,860,256128
Naproxen,C22,0.159,34,57897,871,235983
Nicotine,C61,0.254,11,864,14031,279903
Acetazolamide,C61,0.144,6,831,14033,279936
Riboflavin,C61,0.137,27,3906,13985,276861
Pregabalin,C61,0.135,43,6298,13895,274469
Pregabalin,C73,0.617,9,6476,648,287671
Lorazepam,C61,0.152,12,1577,14008,279190
Carbamazepine,C61,0.255,39,3033,13996,277734
Levothyroxine,C61,0.142,122,16371,13864,264396
Warfarin,C61,0.488,191,7799,13689,272968
Aluminum Hydroxide,C61,0.121,6,986,14033,279781
Bumetanide,C44,0.235,19,900,24243,269632
Bumetanide,C61,0.217,10,920,14019,279847
Bumetanide,C50,0.199,11,909,16853,277019
Guaifenesin,C61,0.152,318,37622,13556,243145
Budesonide,C61,0.301,65,4275,13960,276492
Budesonide,C67,0.29,19,4355,4301,286130
Rivaroxaban,C61,0.24,20,1665,13957,279102
Ipratropium,C61,0.242,454,34417,13449,246350
Celecoxib,C61,0.179,58,6378,13961,274389
Celecoxib,C73,0.404,6,6520,655,287627
Celecoxib,C22,0.479,10,6518,920,287362
Levetiracetam,C44,0.201,12,665,24250,269867
Mupirocin,C61,0.104,41,7716,13986,273051
Hydroxychloroquine,C61,0.106,10,1878,14018,278889
Valsartan,C61,0.769,98,2546,13925,278221
Digoxin,C61,0.403,38,1882,13972,278885
Colchicine,C61,0.343,71,4115,13911,276652
Pramipexole,C61,0.295,9,609,14024,280158
Misoprostol,C18,0.26,22,4037,5969,284778
Ticagrelor,C44,0.205,13,705,24244,269827
Erythromycin,C61,0.154,349,39957,13644,240810
Loperamide,C61,0.091,64,13448,13906,267319
Amiodarone,C44,0.389,50,1429,24195,269103
Amiodarone,C61,0.366,27,1471,13990,279296
Amiodarone,C50,0.054,5,1515,16861,276413
Amiodarone,C22,1.036,5,1531,922,292349
Escitalopram,C61,0.265,34,2551,13998,278216
Prasugrel,C44,0.625,12,214,24253,270318
Prasugrel,C61,0.536,6,224,14029,280543
Hydrocortisone,C01,0.183,6,37189,227,257382
Lamotrigine,C61,0.326,14,857,14016,279910
Dapagliflozin,C61,0.217,5,461,14028,280306
Spironolactone,C61,0.199,22,2205,13991,278562
Clopidogrel,C61,0.387,192,9859,13625,270908
Clopidogrel,C22,0.4,13,10279,897,283601
Clopidogrel,C54,0.18,15,10281,2292,282213
Nicardipine,C61,1.282,5,78,14038,280689
Memantine,C61,0.218,8,733,14030,280034
Scopolamine,C61,0.174,6,688,14033,280079
Nitroglycerin,C44,0.264,404,16436,23665,254096
Nitroglycerin,C61,0.306,266,16841,13624,263926
Nitroglycerin,C43,0.216,53,17360,3863,273514
Metronidazole,C61,0.083,127,27974,13868,252793
Donepezil,C61,0.218,8,733,14030,280034
Gentamicin,C44,0.104,17,1805,24255,268727
Fluoxetine,C61,0.209,205,18662,13789,262105
Citric Acid,C50,0.23,9,644,16866,277284
Isosorbide Dinitrate,C44,0.526,17,360,24256,270172
Isosorbide Dinitrate,C61,0.434,8,368,14032,280399
Sulfadiazine,C61,0.116,408,58319,13415,222448
Vilanterol,C61,0.176,67,7487,13923,273280
Dextrose,C61,0.307,6,391,14035,280376
Ampicillin,C61,0.149,24,3191,14019,277576
Ampicillin,C50,0.218,42,3145,16839,274783
Temazepam,C61,0.148,80,10504,13940,270263
Mirtazapine,C61,0.172,51,5841,13943,274926
Folic Acid,C61,0.109,119,20686,13739,260081
Doxycycline Anhydrous,C73,0.151,16,42013,635,252134
Doxycycline Anhydrous,C02,0.233,13,42061,335,252395
Doxycycline Anhydrous,C09,0.135,8,42066,356,252373
Doxepin,C61,0.268,7,522,14035,280245
Chlordiazepoxide,C61,0.168,8,951,14034,279816
Isosorbide,C44,0.368,141,4240,24052,266292
Isosorbide,C61,0.422,92,4341,13885,276426
Isosorbide,C43,0.31,19,4493,3909,286381
Furosemide,C61,0.195,124,12403,13763,268364
Lactulose,C61,0.132,131,18828,13766,261939
Diltiazem,C61,0.358,20,1114,14015,279653
Nifedipine,C61,0.441,60,2710,13970,278057
Dextromethorphan,C61,0.082,31,7361,14006,273406
