covariate,treat_value,ctrl_value,smd,cell,comparator
n_matched,52147.0,52147.0,,AvsB_1to1_full,Metoprolol (β1-selective)
age,71.7029,72.2167,0.0402,AvsB_1to1_full,Metoprolol (β1-selective)
gender,0.5762,0.5706,0.0112,AvsB_1to1_full,Metoprolol (β1-selective)
race_White,0.3254,0.3301,0.0101,AvsB_1to1_full,Metoprolol (β1-selective)
race_Black,0.2168,0.214,0.0068,AvsB_1to1_full,Metoprolol (β1-selective)
race_Asian,0.0247,0.0183,0.0445,AvsB_1to1_full,Metoprolol (β1-selective)
race_Other,0.4331,0.4376,0.009,AvsB_1to1_full,Metoprolol (β1-selective)
cci,3.7366,3.544,0.05,AvsB_1to1_full,Metoprolol (β1-selective)
hypertension,0.8123,0.8168,0.0115,AvsB_1to1_full,Metoprolol (β1-selective)
diabetes_any,0.6128,0.6176,0.0099,AvsB_1to1_full,Metoprolol (β1-selective)
prior_cvd,0.6782,0.6827,0.0097,AvsB_1to1_full,Metoprolol (β1-selective)
prior_cancer_any,0.2715,0.2677,0.0085,AvsB_1to1_full,Metoprolol (β1-selective)
obesity,0.3273,0.3227,0.0098,AvsB_1to1_full,Metoprolol (β1-selective)
bph,0.1593,0.1546,0.0128,AvsB_1to1_full,Metoprolol (β1-selective)
heart_failure,0.4819,0.4802,0.0033,AvsB_1to1_full,Metoprolol (β1-selective)
atrial_fibrillation,0.2317,0.2291,0.0061,AvsB_1to1_full,Metoprolol (β1-selective)
n_unique_medications,58.4644,52.6109,0.1194,AvsB_1to1_full,Metoprolol (β1-selective)
n_matched,52143.0,52143.0,,AvsB_1to1_simple,Metoprolol (β1-selective)
age,71.7076,71.8871,0.0139,AvsB_1to1_simple,Metoprolol (β1-selective)
gender,0.5762,0.576,0.0005,AvsB_1to1_simple,Metoprolol (β1-selective)
race_White,0.3253,0.3251,0.0004,AvsB_1to1_simple,Metoprolol (β1-selective)
race_Black,0.2168,0.2161,0.0017,AvsB_1to1_simple,Metoprolol (β1-selective)
race_Asian,0.0247,0.0276,0.0183,AvsB_1to1_simple,Metoprolol (β1-selective)
race_Other,0.4332,0.4312,0.0041,AvsB_1to1_simple,Metoprolol (β1-selective)
cci,3.7367,2.6467,0.2907,AvsB_1to1_simple,Metoprolol (β1-selective)
n_unique_medications,58.4664,42.4625,0.3345,AvsB_1to1_simple,Metoprolol (β1-selective)
n_matched,52147.0,104294.0,,AvsB_1to2_full,Metoprolol (β1-selective)
age,71.7029,72.3682,0.0523,AvsB_1to2_full,Metoprolol (β1-selective)
gender,0.5762,0.5675,0.0176,AvsB_1to2_full,Metoprolol (β1-selective)
race_White,0.3254,0.332,0.014,AvsB_1to2_full,Metoprolol (β1-selective)
race_Black,0.2168,0.212,0.0115,AvsB_1to2_full,Metoprolol (β1-selective)
race_Asian,0.0247,0.0172,0.052,AvsB_1to2_full,Metoprolol (β1-selective)
race_Other,0.4331,0.4388,0.0113,AvsB_1to2_full,Metoprolol (β1-selective)
cci,3.7366,3.5144,0.0578,AvsB_1to2_full,Metoprolol (β1-selective)
hypertension,0.8123,0.8194,0.0183,AvsB_1to2_full,Metoprolol (β1-selective)
diabetes_any,0.6128,0.6204,0.0156,AvsB_1to2_full,Metoprolol (β1-selective)
prior_cvd,0.6782,0.6857,0.0161,AvsB_1to2_full,Metoprolol (β1-selective)
prior_cancer_any,0.2715,0.2676,0.0087,AvsB_1to2_full,Metoprolol (β1-selective)
obesity,0.3273,0.3235,0.0081,AvsB_1to2_full,Metoprolol (β1-selective)
bph,0.1593,0.1525,0.0188,AvsB_1to2_full,Metoprolol (β1-selective)
heart_failure,0.4819,0.4788,0.0062,AvsB_1to2_full,Metoprolol (β1-selective)
atrial_fibrillation,0.2317,0.2261,0.0133,AvsB_1to2_full,Metoprolol (β1-selective)
n_unique_medications,58.4644,52.5121,0.1215,AvsB_1to2_full,Metoprolol (β1-selective)
n_matched,52143.0,104286.0,,AvsB_1to2_simple,Metoprolol (β1-selective)
age,71.7076,71.8867,0.0138,AvsB_1to2_simple,Metoprolol (β1-selective)
gender,0.5762,0.576,0.0005,AvsB_1to2_simple,Metoprolol (β1-selective)
race_White,0.3253,0.3251,0.0004,AvsB_1to2_simple,Metoprolol (β1-selective)
race_Black,0.2168,0.2161,0.0017,AvsB_1to2_simple,Metoprolol (β1-selective)
race_Asian,0.0247,0.0276,0.0182,AvsB_1to2_simple,Metoprolol (β1-selective)
race_Other,0.4332,0.4312,0.004,AvsB_1to2_simple,Metoprolol (β1-selective)
cci,3.7367,2.9317,0.2088,AvsB_1to2_simple,Metoprolol (β1-selective)
n_unique_medications,58.4664,42.4071,0.3452,AvsB_1to2_simple,Metoprolol (β1-selective)
n_matched,52146.0,52146.0,,AvsC_1to1_full,Class-clean control
age,71.7043,74.4079,0.2143,AvsC_1to1_full,Class-clean control
gender,0.5762,0.5592,0.0344,AvsC_1to1_full,Class-clean control
race_White,0.3254,0.3762,0.1066,AvsC_1to1_full,Class-clean control
race_Black,0.2168,0.1721,0.1131,AvsC_1to1_full,Class-clean control
race_Asian,0.0247,0.0167,0.0562,AvsC_1to1_full,Class-clean control
race_Other,0.4331,0.435,0.0038,AvsC_1to1_full,Class-clean control
cci,3.7366,3.1363,0.1621,AvsC_1to1_full,Class-clean control
hypertension,0.8123,0.842,0.0786,AvsC_1to1_full,Class-clean control
diabetes_any,0.6128,0.6237,0.0224,AvsC_1to1_full,Class-clean control
prior_cvd,0.6782,0.6915,0.0287,AvsC_1to1_full,Class-clean control
prior_cancer_any,0.2715,0.2656,0.0132,AvsC_1to1_full,Class-clean control
obesity,0.3273,0.3045,0.0491,AvsC_1to1_full,Class-clean control
bph,0.1593,0.159,0.0007,AvsC_1to1_full,Class-clean control
heart_failure,0.4819,0.4279,0.1086,AvsC_1to1_full,Class-clean control
atrial_fibrillation,0.2317,0.256,0.0567,AvsC_1to1_full,Class-clean control
n_unique_medications,58.4652,28.5476,0.6834,AvsC_1to1_full,Class-clean control
n_matched,52085.0,52085.0,,AvsC_1to1_simple,Class-clean control
age,71.7674,71.7899,0.0017,AvsC_1to1_simple,Class-clean control
gender,0.5766,0.5757,0.0018,AvsC_1to1_simple,Class-clean control
race_White,0.3253,0.3269,0.0033,AvsC_1to1_simple,Class-clean control
race_Black,0.217,0.2163,0.0015,AvsC_1to1_simple,Class-clean control
race_Asian,0.0247,0.0248,0.001,AvsC_1to1_simple,Class-clean control
race_Other,0.433,0.4319,0.0022,AvsC_1to1_simple,Class-clean control
cci,3.7369,1.0474,0.8727,AvsC_1to1_simple,Class-clean control
n_unique_medications,58.4389,11.7764,1.2158,AvsC_1to1_simple,Class-clean control
n_matched,52146.0,104292.0,,AvsC_1to2_full,Class-clean control
age,71.7043,74.5756,0.2281,AvsC_1to2_full,Class-clean control
gender,0.5762,0.5486,0.0556,AvsC_1to2_full,Class-clean control
race_White,0.3254,0.385,0.1248,AvsC_1to2_full,Class-clean control
race_Black,0.2168,0.1697,0.1193,AvsC_1to2_full,Class-clean control
race_Asian,0.0247,0.0156,0.0648,AvsC_1to2_full,Class-clean control
race_Other,0.4331,0.4296,0.0071,AvsC_1to2_full,Class-clean control
cci,3.7366,3.1272,0.1655,AvsC_1to2_full,Class-clean control
hypertension,0.8123,0.8476,0.0942,AvsC_1to2_full,Class-clean control
diabetes_any,0.6128,0.63,0.0354,AvsC_1to2_full,Class-clean control
prior_cvd,0.6782,0.6908,0.0272,AvsC_1to2_full,Class-clean control
prior_cancer_any,0.2715,0.268,0.0078,AvsC_1to2_full,Class-clean control
obesity,0.3273,0.3031,0.0521,AvsC_1to2_full,Class-clean control
bph,0.1593,0.1571,0.0061,AvsC_1to2_full,Class-clean control
heart_failure,0.4819,0.4217,0.1211,AvsC_1to2_full,Class-clean control
atrial_fibrillation,0.2317,0.2609,0.0679,AvsC_1to2_full,Class-clean control
n_unique_medications,58.4652,28.2049,0.6907,AvsC_1to2_full,Class-clean control
n_matched,52085.0,104170.0,,AvsC_1to2_simple,Class-clean control
age,71.7674,71.7804,0.001,AvsC_1to2_simple,Class-clean control
gender,0.5766,0.5758,0.0015,AvsC_1to2_simple,Class-clean control
race_White,0.3253,0.3265,0.0025,AvsC_1to2_simple,Class-clean control
race_Black,0.217,0.2169,0.0,AvsC_1to2_simple,Class-clean control
race_Asian,0.0247,0.0247,0.0002,AvsC_1to2_simple,Class-clean control
race_Other,0.433,0.4319,0.0023,AvsC_1to2_simple,Class-clean control
cci,3.7369,1.1477,0.8244,AvsC_1to2_simple,Class-clean control
n_unique_medications,58.4389,13.1137,1.1606,AvsC_1to2_simple,Class-clean control
