cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsB_1to1_full,B,1,full,0,365,1y,52147,52147,234,274,success,0.9469,0.8572,1.046,0.28282847955220053,508,104294,0.9449
AvsB_1to1_full,B,1,full,0,730,2y,52147,52147,351,396,success,0.9459,0.8622,1.0378,0.23950483224983363,747,104294,0.9467
AvsB_1to1_full,B,1,full,0,1095,3y,52147,52147,445,515,success,0.9259,0.8482,1.0107,0.0849576690235261,960,104294,0.948
AvsB_1to1_full,B,1,full,0,1825,5y,52147,52147,610,691,success,0.9237,0.8518,1.0016,0.05475032632875296,1301,104294,0.9514
AvsB_1to1_full,B,1,full,1,365,1y,52147,52147,234,267,success,0.9571,0.8662,1.0575,0.3891718035419923,501,104294,0.9463
AvsB_1to1_full,B,1,full,1,730,2y,52147,52147,351,418,success,0.9264,0.8448,1.0158,0.10365652516754341,769,104294,0.947
AvsB_1to1_full,B,1,full,1,1095,3y,52147,52147,445,530,success,0.9157,0.8392,0.9993,0.04806868104203825,975,104294,0.9472
AvsB_1to1_full,B,1,full,1,1825,5y,52147,52147,610,686,success,0.9324,0.8597,1.0111,0.09054633085650368,1296,104294,0.9492
AvsB_1to1_full,B,1,full,2,365,1y,52147,52147,234,310,success,0.9071,0.822,1.0009,0.05219967971081021,544,104294,0.9481
AvsB_1to1_full,B,1,full,2,730,2y,52147,52147,351,462,success,0.8835,0.8066,0.9677,0.007673793211184747,813,104294,0.9479
AvsB_1to1_full,B,1,full,2,1095,3y,52147,52147,445,554,success,0.8936,0.8193,0.9746,0.011058821915815687,999,104294,0.9484
AvsB_1to1_full,B,1,full,2,1825,5y,52147,52147,610,699,success,0.9197,0.8482,0.9972,0.042513596379134655,1309,104294,0.9509
AvsB_1to1_full,B,1,full,3,365,1y,52147,52147,234,301,success,0.9186,0.8323,1.0139,0.09200200391867189,535,104294,0.9488
AvsB_1to1_full,B,1,full,3,730,2y,52147,52147,351,453,success,0.8942,0.8162,0.9797,0.016350879796522996,804,104294,0.9482
AvsB_1to1_full,B,1,full,3,1095,3y,52147,52147,445,555,success,0.8958,0.8213,0.977,0.012945120950233759,1000,104294,0.9477
AvsB_1to1_full,B,1,full,3,1825,5y,52147,52147,610,690,success,0.931,0.8585,1.0095,0.08349905196441877,1300,104294,0.9497
AvsB_1to1_full,B,1,full,4,365,1y,52147,52147,234,317,success,0.8978,0.8138,0.9905,0.031493103629027984,551,104294,0.9456
AvsB_1to1_full,B,1,full,4,730,2y,52147,52147,351,445,success,0.897,0.8186,0.9829,0.019825106593756858,796,104294,0.9471
AvsB_1to1_full,B,1,full,4,1095,3y,52147,52147,445,547,success,0.8972,0.8225,0.9787,0.014469089342340641,992,104294,0.9477
AvsB_1to1_full,B,1,full,4,1825,5y,52147,52147,610,693,success,0.9217,0.85,0.9994,0.04828787513328904,1303,104294,0.9501
AvsB_1to1_full,B,1,full,5,365,1y,52147,52147,234,283,success,0.9381,0.8495,1.036,0.2072058595387675,517,104294,0.9442
AvsB_1to1_full,B,1,full,5,730,2y,52147,52147,351,443,success,0.9029,0.8239,0.9894,0.028685800453278554,794,104294,0.9461
AvsB_1to1_full,B,1,full,5,1095,3y,52147,52147,445,540,success,0.9081,0.8324,0.9908,0.030124666526874424,985,104294,0.9469
AvsB_1to1_full,B,1,full,5,1825,5y,52147,52147,610,709,success,0.9158,0.8448,0.9928,0.03277770280974846,1319,104294,0.9486
AvsB_1to1_full,B,1,full,6,365,1y,52147,52147,234,303,success,0.9166,0.8305,1.0116,0.08345952282448008,537,104294,0.9458
AvsB_1to1_full,B,1,full,6,730,2y,52147,52147,351,458,success,0.8902,0.8126,0.9751,0.012373110921574502,809,104294,0.9483
AvsB_1to1_full,B,1,full,6,1095,3y,52147,52147,445,568,success,0.8862,0.8127,0.9663,0.006199709040269848,1013,104294,0.9483
AvsB_1to1_full,B,1,full,6,1825,5y,52147,52147,610,762,success,0.8803,0.8127,0.9535,0.001760068564900663,1372,104294,0.9507
AvsB_1to1_full,B,1,full,7,365,1y,52147,52147,234,290,success,0.9301,0.8423,1.0269,0.15133020619475315,524,104294,0.9449
AvsB_1to1_full,B,1,full,7,730,2y,52147,52147,351,427,success,0.918,0.8373,1.0063,0.06790062177407567,778,104294,0.9471
AvsB_1to1_full,B,1,full,7,1095,3y,52147,52147,445,568,success,0.8846,0.8113,0.9646,0.005485998020332639,1013,104294,0.9486
AvsB_1to1_full,B,1,full,7,1825,5y,52147,52147,610,752,success,0.8844,0.8164,0.9581,0.002624255313527457,1362,104294,0.9504
AvsB_1to1_full,B,1,full,8,365,1y,52147,52147,234,320,success,0.8975,0.8136,0.99,0.030743701861373596,554,104294,0.9465
AvsB_1to1_full,B,1,full,8,730,2y,52147,52147,351,487,success,0.8639,0.7891,0.9457,0.00152831604736277,838,104294,0.9473
