cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates,reason
AvsB_1to1_full,B,1,full,0,365,1y,52147,52147,234,274,success,0.808,0.6754,0.9666,0.01970408337151706,0.0914,104294.0,508.0,14.0,
AvsB_1to1_full,B,1,full,0,730,2y,52147,52147,351,396,success,0.841,0.7245,0.9761,0.022750996876064623,0.076,104294.0,747.0,14.0,
AvsB_1to1_full,B,1,full,0,1095,3y,52147,52147,445,515,success,0.8169,0.7152,0.9329,0.002844674452306214,0.0678,104294.0,960.0,14.0,
AvsB_1to1_full,B,1,full,0,1825,5y,52147,52147,610,691,success,0.8332,0.7418,0.936,0.0021007086529350955,0.0593,104294.0,1301.0,14.0,
AvsB_1to1_full,B,1,full,1,365,1y,52147,52147,234,267,success,0.8541,0.7131,1.023,0.08663867256454692,0.092,104294.0,501.0,14.0,
AvsB_1to1_full,B,1,full,1,730,2y,52147,52147,351,418,success,0.8131,0.7016,0.9423,0.005943976236675832,0.0752,104294.0,769.0,14.0,
AvsB_1to1_full,B,1,full,1,1095,3y,52147,52147,445,530,success,0.8105,0.7103,0.9248,0.0018030870920832545,0.0673,104294.0,975.0,14.0,
AvsB_1to1_full,B,1,full,1,1825,5y,52147,52147,610,686,success,0.8624,0.7679,0.9684,0.012329849520331873,0.0592,104294.0,1296.0,14.0,
AvsB_1to1_full,B,1,full,2,365,1y,52147,52147,234,310,success,0.7274,0.6106,0.8664,0.00036207888181941523,0.0893,104294.0,544.0,14.0,
AvsB_1to1_full,B,1,full,2,730,2y,52147,52147,351,462,success,0.7266,0.6288,0.8395,1.4759992135087273e-05,0.0737,104294.0,813.0,14.0,
AvsB_1to1_full,B,1,full,2,1095,3y,52147,52147,445,554,failed,,,,,,,,,non-convergence
AvsB_1to1_full,B,1,full,2,1825,5y,52147,52147,610,699,success,0.8407,0.7486,0.944,0.003350383817341567,0.0592,104294.0,1309.0,14.0,
AvsB_1to1_full,B,1,full,3,365,1y,52147,52147,234,301,success,0.7628,0.6396,0.9097,0.0025873936640141214,0.0899,104294.0,535.0,14.0,
AvsB_1to1_full,B,1,full,3,730,2y,52147,52147,351,453,success,0.7538,0.652,0.8716,0.00013548663971293368,0.0741,104294.0,804.0,14.0,
AvsB_1to1_full,B,1,full,3,1095,3y,52147,52147,445,555,success,0.7787,0.6832,0.8876,0.0001806077956567357,0.0668,104294.0,1000.0,14.0,
AvsB_1to1_full,B,1,full,3,1825,5y,52147,52147,610,690,success,0.8649,0.7701,0.9714,0.01426285367206021,0.0592,104294.0,1300.0,14.0,
