cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsB_1to1_full,B,1,full,0,365,1y,52147,52147,234,274,4.5037,3.9451,5.1192,5.276,4.6697,5.9392,0.8536,0.717,1.0163
AvsB_1to1_full,B,1,full,0,730,2y,52147,52147,351,396,3.3824,3.0378,3.7554,3.8185,3.4516,4.2137,0.8858,0.7672,1.0227
AvsB_1to1_full,B,1,full,0,1095,3y,52147,52147,445,515,2.862,2.6023,3.1407,3.3149,3.0347,3.6139,0.8634,0.7605,0.9801
AvsB_1to1_full,B,1,full,0,1825,5y,52147,52147,610,691,2.3585,2.175,2.5533,2.6745,2.4787,2.8815,0.8818,0.7909,0.9833
AvsB_1to1_full,B,1,full,1,365,1y,52147,52147,234,267,4.5037,3.9451,5.1192,5.1415,4.5432,5.7967,0.876,0.7349,1.044
AvsB_1to1_full,B,1,full,1,730,2y,52147,52147,351,418,3.3824,3.0378,3.7554,4.0309,3.6537,4.4365,0.8391,0.7281,0.967
AvsB_1to1_full,B,1,full,1,1095,3y,52147,52147,445,530,2.862,2.6023,3.1407,3.412,3.1276,3.7152,0.8388,0.7395,0.9515
AvsB_1to1_full,B,1,full,1,1825,5y,52147,52147,610,686,2.3585,2.175,2.5533,2.6554,2.4603,2.8617,0.8882,0.7964,0.9906
AvsB_1to1_full,B,1,full,2,365,1y,52147,52147,234,310,4.5037,3.9451,5.1192,5.9724,5.3259,6.6756,0.7541,0.6364,0.8936
AvsB_1to1_full,B,1,full,2,730,2y,52147,52147,351,462,3.3824,3.0378,3.7554,4.4582,4.0609,4.8839,0.7587,0.6604,0.8716
AvsB_1to1_full,B,1,full,2,1095,3y,52147,52147,445,554,2.862,2.6023,3.1407,3.5689,3.2778,3.8788,0.8019,0.7079,0.9085
AvsB_1to1_full,B,1,full,2,1825,5y,52147,52147,610,699,2.3585,2.175,2.5533,2.7072,2.5102,2.9156,0.8712,0.7815,0.9711
AvsB_1to1_full,B,1,full,3,365,1y,52147,52147,234,301,4.5037,3.9451,5.1192,5.7978,5.1612,6.4911,0.7768,0.6548,0.9215
AvsB_1to1_full,B,1,full,3,730,2y,52147,52147,351,453,3.3824,3.0378,3.7554,4.3705,3.9772,4.7921,0.7739,0.6732,0.8897
AvsB_1to1_full,B,1,full,3,1095,3y,52147,52147,445,555,2.862,2.6023,3.1407,3.5747,3.2835,3.8849,0.8006,0.7067,0.907
AvsB_1to1_full,B,1,full,3,1825,5y,52147,52147,610,690,2.3585,2.175,2.5533,2.6719,2.4762,2.8789,0.8827,0.7916,0.9843
AvsB_1to1_full,B,1,full,4,365,1y,52147,52147,234,317,4.5037,3.9451,5.1192,6.1064,5.4526,6.817,0.7375,0.6229,0.8733
AvsB_1to1_full,B,1,full,4,730,2y,52147,52147,351,445,3.3824,3.0378,3.7554,4.2934,3.9037,4.7115,0.7878,0.6849,0.9061
AvsB_1to1_full,B,1,full,4,1095,3y,52147,52147,445,547,2.862,2.6023,3.1407,3.5231,3.234,3.8311,0.8124,0.7168,0.9206
AvsB_1to1_full,B,1,full,4,1825,5y,52147,52147,610,693,2.3585,2.175,2.5533,2.6836,2.4875,2.8911,0.8789,0.7882,0.9799
AvsB_1to1_full,B,1,full,5,365,1y,52147,52147,234,283,4.5037,3.9451,5.1192,5.4503,4.8338,6.1238,0.8263,0.6949,0.9826
AvsB_1to1_full,B,1,full,5,730,2y,52147,52147,351,443,3.3824,3.0378,3.7554,4.2729,3.8842,4.6899,0.7916,0.6881,0.9106
AvsB_1to1_full,B,1,full,5,1095,3y,52147,52147,445,540,2.862,2.6023,3.1407,3.4772,3.1901,3.7833,0.8231,0.726,0.9331
AvsB_1to1_full,B,1,full,5,1825,5y,52147,52147,610,709,2.3585,2.175,2.5533,2.7451,2.5467,2.9548,0.8592,0.771,0.9574
AvsB_1to1_full,B,1,full,6,365,1y,52147,52147,234,303,4.5037,3.9451,5.1192,5.8378,5.1989,6.5335,0.7715,0.6505,0.915
AvsB_1to1_full,B,1,full,6,730,2y,52147,52147,351,458,3.3824,3.0378,3.7554,4.4197,4.0242,4.8437,0.7653,0.666,0.8795
AvsB_1to1_full,B,1,full,6,1095,3y,52147,52147,445,568,2.862,2.6023,3.1407,3.6593,3.3645,3.973,0.7821,0.6908,0.8854
AvsB_1to1_full,B,1,full,6,1825,5y,52147,52147,610,762,2.3585,2.175,2.5533,2.9522,2.7463,3.1695,0.7989,0.7182,0.8887
AvsB_1to1_full,B,1,full,7,365,1y,52147,52147,234,290,4.5037,3.9451,5.1192,5.5854,4.961,6.2666,0.8063,0.6788,0.9579
AvsB_1to1_full,B,1,full,7,730,2y,52147,52147,351,427,3.3824,3.0378,3.7554,4.1188,3.7373,4.5286,0.8212,0.7131,0.9458
AvsB_1to1_full,B,1,full,7,1095,3y,52147,52147,445,568,2.862,2.6023,3.1407,3.658,3.3633,3.9716,0.7824,0.6911,0.8858
AvsB_1to1_full,B,1,full,7,1825,5y,52147,52147,610,752,2.3585,2.175,2.5533,2.9128,2.7083,3.1286,0.8097,0.7277,0.901
AvsB_1to1_full,B,1,full,8,365,1y,52147,52147,234,320,4.5037,3.9451,5.1192,6.1662,5.509,6.8802,0.7304,0.6171,0.8645
AvsB_1to1_full,B,1,full,8,730,2y,52147,52147,351,487,3.3824,3.0378,3.7554,4.7003,4.292,5.1369,0.7196,0.6273,0.8255
AvsB_1to1_full,B,1,full,8,1095,3y,52147,52147,445,593,2.862,2.6023,3.1407,3.8213,3.5199,4.1416,0.749,0.6623,0.8469
AvsB_1to1_full,B,1,full,8,1825,5y,52147,52147,610,780,2.3585,2.175,2.5533,3.0228,2.8144,3.2426,0.7802,0.7018,0.8674
AvsB_1to1_full,B,1,full,9,365,1y,52147,52147,234,259,4.5037,3.9451,5.1192,4.987,4.3981,5.6328,0.9031,0.7568,1.0777
AvsB_1to1_full,B,1,full,9,730,2y,52147,52147,351,385,3.3824,3.0378,3.7554,3.7119,3.3504,4.1019,0.9112,0.7885,1.053
AvsB_1to1_full,B,1,full,9,1095,3y,52147,52147,445,538,2.862,2.6023,3.1407,3.4627,3.1762,3.768,0.8265,0.729,0.9371
AvsB_1to1_full,B,1,full,9,1825,5y,52147,52147,610,667,2.3585,2.175,2.5533,2.5813,2.3891,2.7849,0.9137,0.8187,1.0197
AvsB_1to1_simple,B,1,simple,0,365,1y,52143,52143,234,162,4.504,3.9454,5.1196,3.1161,2.6547,3.6346,1.4454,1.183,1.766
AvsB_1to1_simple,B,1,simple,0,730,2y,52143,52143,351,162,3.3826,3.038,3.7557,1.5587,1.3279,1.818,2.1701,1.8015,2.6142
AvsB_1to1_simple,B,1,simple,0,1095,3y,52143,52143,445,162,2.8623,2.6025,3.141,1.0393,0.8854,1.2122,2.7541,2.3007,3.2967
AvsB_1to1_simple,B,1,simple,0,1825,5y,52143,52143,610,162,2.3587,2.1752,2.5535,0.6236,0.5313,0.7274,3.7824,3.1808,4.4978
AvsB_1to2_full,B,2,full,0,365,1y,52147,104294,234,551,4.5037,3.9451,5.1192,5.3053,4.8715,5.7673,0.8489,0.7285,0.9892
AvsB_1to2_full,B,2,full,0,730,2y,52147,104294,351,798,3.3824,3.0378,3.7554,3.8474,3.5851,4.1239,0.8791,0.7754,0.9967
AvsB_1to2_full,B,2,full,0,1095,3y,52147,104294,445,1041,2.862,2.6023,3.1407,3.3503,3.1499,3.5602,0.8543,0.7645,0.9545
AvsB_1to2_full,B,2,full,0,1825,5y,52147,104294,610,1351,2.3585,2.175,2.5533,2.6144,2.4768,2.7576,0.9021,0.8199,0.9926
AvsB_1to2_full,B,2,full,1,365,1y,52147,104294,234,580,4.5037,3.9451,5.1192,5.5852,5.1399,6.0588,0.8064,0.6928,0.9385
AvsB_1to2_full,B,2,full,1,730,2y,52147,104294,351,852,3.3824,3.0378,3.7554,4.1089,3.8376,4.3943,0.8232,0.727,0.9322
AvsB_1to2_full,B,2,full,1,1095,3y,52147,104294,445,1108,2.862,2.6023,3.1407,3.5673,3.3604,3.7837,0.8023,0.7187,0.8956
AvsB_1to2_full,B,2,full,1,1825,5y,52147,104294,610,1417,2.3585,2.175,2.5533,2.7433,2.6023,2.8899,0.8597,0.7819,0.9453
AvsB_1to2_full,B,2,full,2,365,1y,52147,104294,234,602,4.5037,3.9451,5.1192,5.7974,5.3435,6.2796,0.7768,0.668,0.9035
AvsB_1to2_full,B,2,full,2,730,2y,52147,104294,351,896,3.3824,3.0378,3.7554,4.3219,4.0435,4.6144,0.7826,0.6918,0.8854
AvsB_1to2_full,B,2,full,2,1095,3y,52147,104294,445,1104,2.862,2.6023,3.1407,3.5553,3.3486,3.7713,0.805,0.7211,0.8986
AvsB_1to2_full,B,2,full,2,1825,5y,52147,104294,610,1378,2.3585,2.175,2.5533,2.6681,2.529,2.8128,0.884,0.8036,0.9724
AvsB_1to2_full,B,2,full,3,365,1y,52147,104294,234,557,4.5037,3.9451,5.1192,5.363,4.9268,5.8275,0.8398,0.7209,0.9783
AvsB_1to2_full,B,2,full,3,730,2y,52147,104294,351,839,3.3824,3.0378,3.7554,4.0456,3.7764,4.3289,0.8361,0.7381,0.947
AvsB_1to2_full,B,2,full,3,1095,3y,52147,104294,445,1051,2.862,2.6023,3.1407,3.3831,3.1816,3.594,0.846,0.7572,0.9451
