cell,window_label,estimator,n_seeds,median,min,max
AvsB_1to1_full,1y,Cox HR,10,0.9244,0.8975,0.9669
AvsB_1to1_full,1y,Logit OR,10,0.7771,0.7018,0.8839
AvsB_1to1_full,2y,Cox HR,10,0.9,0.8639,0.9602
AvsB_1to1_full,2y,Logit OR,10,0.7586,0.7017,0.8925
AvsB_1to1_full,3y,Cox HR,10,0.8965,0.8652,0.9259
AvsB_1to1_full,3y,Logit OR,9,0.7787,0.7315,0.8169
AvsB_1to1_full,5y,Cox HR,10,0.9207,0.8659,0.948
AvsB_1to1_full,5y,Logit OR,10,0.8362,0.76,0.8951
AvsB_1to1_simple,1y,Cox HR,1,1.1057,1.1057,1.1057
AvsB_1to1_simple,1y,Logit OR,1,1.4561,1.4561,1.4561
AvsB_1to1_simple,2y,Cox HR,1,1.2763,1.2763,1.2763
AvsB_1to1_simple,2y,Logit OR,1,2.201,2.201,2.201
AvsB_1to1_simple,3y,Cox HR,1,1.4123,1.4123,1.4123
AvsB_1to1_simple,3y,Logit OR,1,2.8044,2.8044,2.8044
AvsB_1to1_simple,5y,Cox HR,1,1.6483,1.6483,1.6483
AvsB_1to1_simple,5y,Logit OR,1,3.8765,3.8765,3.8765
AvsB_1to2_full,1y,Cox HR,10,0.9426,0.9183,0.9688
AvsB_1to2_full,1y,Logit OR,10,0.8029,0.7514,0.8747
AvsB_1to2_full,2y,Cox HR,10,0.9225,0.8951,0.9498
AvsB_1to2_full,2y,Logit OR,10,0.8056,0.7428,0.8563
AvsB_1to2_full,3y,Cox HR,10,0.9085,0.8904,0.9534
AvsB_1to2_full,3y,Logit OR,10,0.7933,0.759,0.8784
AvsB_1to2_full,5y,Cox HR,10,0.9249,0.8925,0.968
AvsB_1to2_full,5y,Logit OR,10,0.8418,0.7928,0.9218
AvsB_1to2_simple,1y,Cox HR,1,0.9091,0.9091,0.9091
AvsB_1to2_simple,1y,Logit OR,1,0.7519,0.7519,0.7519
AvsB_1to2_simple,2y,Cox HR,1,0.9101,0.9101,0.9101
AvsB_1to2_simple,2y,Logit OR,0,,,
AvsB_1to2_simple,3y,Cox HR,1,0.8758,0.8758,0.8758
AvsB_1to2_simple,3y,Logit OR,0,,,
AvsB_1to2_simple,5y,Cox HR,1,1.0236,1.0236,1.0236
AvsB_1to2_simple,5y,Logit OR,1,1.0461,1.0461,1.0461
AvsC_1to1_full,1y,Cox HR,10,0.9876,0.8824,1.1002
AvsC_1to1_full,1y,Logit OR,7,1.0178,0.8301,1.4977
AvsC_1to1_full,2y,Cox HR,10,0.9679,0.896,1.1376
AvsC_1to1_full,2y,Logit OR,9,0.9368,0.803,1.5433
AvsC_1to1_full,3y,Cox HR,10,0.9481,0.7481,1.1293
AvsC_1to1_full,3y,Logit OR,5,1.0622,0.5842,1.4189
AvsC_1to1_full,5y,Cox HR,10,0.9958,0.813,1.0996
AvsC_1to1_full,5y,Logit OR,10,1.0304,0.7108,1.2591
AvsC_1to1_simple,1y,Cox HR,1,0.624,0.624,0.624
AvsC_1to1_simple,1y,Logit OR,1,0.3321,0.3321,0.3321
AvsC_1to1_simple,2y,Cox HR,1,0.5585,0.5585,0.5585
AvsC_1to1_simple,2y,Logit OR,1,0.3269,0.3269,0.3269
AvsC_1to1_simple,3y,Cox HR,1,0.6163,0.6163,0.6163
AvsC_1to1_simple,3y,Logit OR,1,0.4162,0.4162,0.4162
AvsC_1to1_simple,5y,Cox HR,1,0.7191,0.7191,0.7191
AvsC_1to1_simple,5y,Logit OR,1,0.5747,0.5747,0.5747
AvsC_1to2_full,1y,Cox HR,10,0.9791,0.8573,1.0787
AvsC_1to2_full,1y,Logit OR,9,0.9253,0.6992,1.4488
AvsC_1to2_full,2y,Cox HR,10,0.9518,0.8244,1.1169
AvsC_1to2_full,2y,Logit OR,4,0.9539,0.7739,1.4559
AvsC_1to2_full,3y,Cox HR,10,0.9606,0.8019,1.0276
AvsC_1to2_full,3y,Logit OR,8,0.923,0.6581,1.1173
AvsC_1to2_full,5y,Cox HR,10,0.9382,0.8538,1.0237
AvsC_1to2_full,5y,Logit OR,10,0.9201,0.7817,1.042
AvsC_1to2_simple,1y,Cox HR,1,0.7344,0.7344,0.7344
AvsC_1to2_simple,1y,Logit OR,0,,,
AvsC_1to2_simple,2y,Cox HR,1,0.7048,0.7048,0.7048
AvsC_1to2_simple,2y,Logit OR,1,0.4752,0.4752,0.4752
AvsC_1to2_simple,3y,Cox HR,1,0.7758,0.7758,0.7758
AvsC_1to2_simple,3y,Logit OR,1,0.605,0.605,0.605
AvsC_1to2_simple,5y,Cox HR,1,0.6891,0.6891,0.6891
AvsC_1to2_simple,5y,Logit OR,1,0.5282,0.5282,0.5282
