subgroup,label,n_in_group,n_complement,events_in_group,events_complement,hr_in_group,hr_ci_lower_in_group,hr_ci_upper_in_group,hr_complement,hr_ci_lower_complement,hr_ci_upper_complement,or_in_group,or_complement,interaction_p,interaction_q,fdr_significant,cell,comparator,ratio,adjustment,window_days,window_label
age_le60,Age ≤ 60,18769,85525,23,485,0.9264,0.707,1.2138,0.9526,0.8558,1.0603,,0.8335,0.8508486278778874,0.957839,False,AvsB_1to1_full,B,1,full,365,1y
age_gt70,Age > 70,60608,43686,402,106,0.9247,0.8173,1.0463,0.9942,0.8403,1.1764,0.7831,0.9199,0.49612166188205603,0.940506,False,AvsB_1to1_full,B,1,full,365,1y
white,White,34184,70110,181,327,0.8513,0.717,1.0107,0.9989,0.884,1.1288,0.6077,0.9435,0.13697764461202777,0.409585,False,AvsB_1to1_full,B,1,full,365,1y
black,Black,22463,81831,142,366,0.908,0.7398,1.1143,0.9573,0.8542,1.0728,0.6879,0.8541,0.6583541356171156,0.940506,False,AvsB_1to1_full,B,1,full,365,1y
hypertension,Hypertension,84952,19342,434,74,0.948,0.8497,1.0577,0.9335,0.7345,1.1865,0.8219,0.6746,0.9087558718106419,0.957839,False,AvsB_1to1_full,B,1,full,365,1y
diabetes_any,Diabetes,64160,40134,356,152,0.8975,0.7927,1.0162,1.0403,0.8806,1.229,0.7055,,0.1638341034415746,0.409585,False,AvsB_1to1_full,B,1,full,365,1y
prior_cvd,Prior CVD,70964,33330,364,144,0.9482,0.8413,1.0688,0.9427,0.7878,1.1279,0.8185,0.772,0.957839204154384,0.957839,False,AvsB_1to1_full,B,1,full,365,1y
obesity,Obesity,33892,70402,202,306,0.797,0.6731,0.9437,1.0374,0.917,1.1736,0.5112,1.0772,0.013517202503546651,0.104158,False,AvsB_1to1_full,B,1,full,365,1y
bph,BPH,16369,87925,249,259,0.7758,0.6392,0.9417,1.0126,0.9015,1.1374,0.6346,0.9878,0.020831578410651867,0.104158,False,AvsB_1to1_full,B,1,full,365,1y
heart_failure,Heart failure,50169,54125,264,244,0.971,0.8427,1.1188,0.9242,0.8035,1.0629,0.8581,0.7549,0.6267944446308986,0.940506,False,AvsB_1to1_full,B,1,full,365,1y
age_le60,Age ≤ 60,18769,85525,30,717,0.9871,0.7566,1.2877,0.9432,0.8544,1.0412,0.9735,0.8435,0.7532735111208995,0.836971,False,AvsB_1to1_full,B,1,full,730,2y
age_gt70,Age > 70,60608,43686,587,160,0.9047,0.8075,1.0135,1.0392,0.8851,1.2201,0.7787,1.1204,0.16711046467450935,0.417776,False,AvsB_1to1_full,B,1,full,730,2y
white,White,34184,70110,290,457,0.8087,0.6916,0.9456,1.0297,0.9176,1.1554,0.61,1.0336,0.014787697850018704,0.12177,False,AvsB_1to1_full,B,1,full,730,2y
black,Black,22463,81831,195,552,0.958,0.7911,1.1602,0.94,0.8456,1.0451,0.8322,0.844,0.8650797858453714,0.86508,False,AvsB_1to1_full,B,1,full,730,2y
hypertension,Hypertension,84952,19342,646,101,0.9361,0.8459,1.036,0.9859,0.7844,1.2392,0.8287,0.8606,0.6846044098818601,0.836971,False,AvsB_1to1_full,B,1,full,730,2y
diabetes_any,Diabetes,64160,40134,524,223,0.9105,0.8117,1.0214,1.0121,0.8651,1.184,0.7829,0.9764,0.28634283775265684,0.572686,False,AvsB_1to1_full,B,1,full,730,2y
prior_cvd,Prior CVD,70964,33330,533,214,0.9645,0.8629,1.0779,0.9034,0.764,1.0683,0.8871,0.7298,0.5237338988027658,0.748191,False,AvsB_1to1_full,B,1,full,730,2y
obesity,Obesity,33892,70402,283,464,0.8359,0.7141,0.9785,1.0079,0.8987,1.1305,0.6414,0.9844,0.059819641189155635,0.199399,False,AvsB_1to1_full,B,1,full,730,2y
bph,BPH,16369,87925,373,374,0.7996,0.6747,0.9476,1.0093,0.9035,1.1275,0.7049,0.9745,0.02435404745542536,0.12177,False,AvsB_1to1_full,B,1,full,730,2y
heart_failure,Heart failure,50169,54125,372,375,0.9858,0.8634,1.1257,0.9094,0.7989,1.0352,0.9108,0.7729,0.39380523183513216,0.656342,False,AvsB_1to1_full,B,1,full,730,2y
age_le60,Age ≤ 60,18769,85525,34,926,1.0216,0.7849,1.3296,0.9177,0.8362,1.007,1.2932,0.811,0.45188407921178236,0.75314,False,AvsB_1to1_full,B,1,full,1095,3y
age_gt70,Age > 70,60608,43686,749,211,0.903,0.8117,1.0045,0.9803,0.8403,1.1435,0.7953,0.9111,0.390078020524975,0.75314,False,AvsB_1to1_full,B,1,full,1095,3y
white,White,34184,70110,373,587,0.7859,0.6783,0.9105,1.0129,0.9081,1.1299,0.6098,0.9856,0.006669726216427753,0.066697,False,AvsB_1to1_full,B,1,full,1095,3y
black,Black,22463,81831,257,703,0.9148,0.765,1.0938,0.9269,0.8382,1.0249,0.7742,0.8337,0.9000728762778517,0.955686,False,AvsB_1to1_full,B,1,full,1095,3y
hypertension,Hypertension,84952,19342,844,116,0.9155,0.8323,1.0071,0.9746,0.7798,1.2182,0.8063,0.8273,0.6132153736200732,0.876022,False,AvsB_1to1_full,B,1,full,1095,3y
diabetes_any,Diabetes,64160,40134,684,276,0.8923,0.8012,0.9939,0.9905,0.852,1.1516,0.7714,0.9225,0.2692634587215592,0.673159,False,AvsB_1to1_full,B,1,full,1095,3y
prior_cvd,Prior CVD,70964,33330,709,251,0.9297,0.8378,1.0317,0.9157,0.7786,1.077,0.8318,0.7729,0.8773769627995764,0.955686,False,AvsB_1to1_full,B,1,full,1095,3y
obesity,Obesity,33892,70402,371,589,0.8328,0.7187,0.9651,0.9788,0.8777,1.0916,0.6711,0.92,0.08420177358264049,0.280673,False,AvsB_1to1_full,B,1,full,1095,3y
bph,BPH,16369,87925,469,491,0.7943,0.6792,0.9289,0.9861,0.887,1.0963,0.7114,0.91,0.02490178901429669,0.124509,False,AvsB_1to1_full,B,1,full,1095,3y
heart_failure,Heart failure,50169,54125,487,473,0.9281,0.8193,1.0514,0.9235,0.8165,1.0445,0.8004,0.8292,0.9556864521984368,0.955686,False,AvsB_1to1_full,B,1,full,1095,3y
age_le60,Age ≤ 60,18769,85525,40,1261,1.0735,0.8276,1.3924,0.9119,0.8373,0.993,1.7028,0.8205,0.24275472905307915,0.404591,False,AvsB_1to1_full,B,1,full,1825,5y
age_gt70,Age > 70,60608,43686,1024,277,0.8892,0.8068,0.98,1.0119,0.8737,1.1718,0.7927,1.0169,0.1501587505458252,0.375397,False,AvsB_1to1_full,B,1,full,1825,5y
white,White,34184,70110,497,804,0.7981,0.6967,0.9142,1.0005,0.9043,1.1069,0.6648,0.9645,0.008889857210883735,0.072845,False,AvsB_1to1_full,B,1,full,1825,5y
black,Black,22463,81831,354,947,0.8642,0.7341,1.0174,0.94,0.8562,1.0319,0.7075,0.8798,0.3806970956905171,0.543853,False,AvsB_1to1_full,B,1,full,1825,5y
hypertension,Hypertension,84952,19342,1163,138,0.9192,0.8422,1.0032,0.9414,0.7588,1.1678,0.8347,0.7538,0.8406516354235207,0.892012,False,AvsB_1to1_full,B,1,full,1825,5y
diabetes_any,Diabetes,64160,40134,945,356,0.8922,0.8084,0.9845,0.9898,0.8583,1.1414,0.7963,0.9334,0.24028452713717233,0.404591,False,AvsB_1to1_full,B,1,full,1825,5y
prior_cvd,Prior CVD,70964,33330,995,306,0.9268,0.8428,1.0191,0.9152,0.7838,1.0688,0.8473,0.786,0.8920119586716874,0.892012,False,AvsB_1to1_full,B,1,full,1825,5y
obesity,Obesity,33892,70402,511,790,0.8452,0.7387,0.9671,0.9684,0.8749,1.0718,0.7237,0.9108,0.11381081537735978,0.375397,False,AvsB_1to1_full,B,1,full,1825,5y
bph,BPH,16369,87925,674,627,0.8027,0.7006,0.9196,0.9914,0.8962,1.0968,0.7383,0.9305,0.014568956169568341,0.072845,False,AvsB_1to1_full,B,1,full,1825,5y
heart_failure,Heart failure,50169,54125,674,627,0.9381,0.8367,1.0518,0.9085,0.81,1.0189,0.8388,0.8225,0.6981055961564988,0.872632,False,AvsB_1to1_full,B,1,full,1825,5y
age_le60,Age ≤ 60,19281,85005,8,388,1.0824,0.8208,1.4273,1.1101,0.993,1.241,,1.4066,0.8681063601935283,0.868106,False,AvsB_1to1_simple,B,1,simple,365,1y
age_gt70,Age > 70,60203,44083,331,65,1.0684,0.9397,1.2147,1.1768,0.9885,1.4009,1.2132,4.6532,0.3816234601614945,0.508831,False,AvsB_1to1_simple,B,1,simple,365,1y
white,White,33918,70368,69,327,1.4034,1.1553,1.7046,1.0065,0.8908,1.1372,,1.0213,0.004550296671665207,0.009101,True,AvsB_1to1_simple,B,1,simple,365,1y
black,Black,22571,81715,214,182,0.6729,0.5572,0.8127,1.3738,1.2132,1.5556,0.4158,14.3594,5.993587048314743e-10,0.0,True,AvsB_1to1_simple,B,1,simple,365,1y
age_le60,Age ≤ 60,19281,85005,15,498,1.1544,0.8795,1.5152,1.2969,1.1652,1.4435,,,0.4351015036460313,0.580135,False,AvsB_1to1_simple,B,1,simple,730,2y
age_gt70,Age > 70,60203,44083,414,99,1.2515,1.1064,1.4158,1.322,1.1165,1.5654,1.7899,7.5387,0.607585339503232,0.607585,False,AvsB_1to1_simple,B,1,simple,730,2y
white,White,33918,70368,111,402,1.6426,1.3637,1.9785,1.1526,1.0243,1.2969,,1.4992,0.001624201487336634,0.003248,True,AvsB_1to1_simple,B,1,simple,730,2y
