covariate,treat_value,ctrl_value,smd,cell,comparator
n_matched,24096.0,24096.0,,AvsB_1to1_full,Metoprolol (β1-selective)
age,51.0867,51.3713,0.0148,AvsB_1to1_full,Metoprolol (β1-selective)
gender,0.3655,0.3397,0.054,AvsB_1to1_full,Metoprolol (β1-selective)
race_White,0.5057,0.5153,0.0191,AvsB_1to1_full,Metoprolol (β1-selective)
race_Black,0.0902,0.0795,0.0384,AvsB_1to1_full,Metoprolol (β1-selective)
race_Asian,0.0216,0.0149,0.0502,AvsB_1to1_full,Metoprolol (β1-selective)
race_Other,0.3824,0.3903,0.0162,AvsB_1to1_full,Metoprolol (β1-selective)
cci,2.0264,1.9241,0.0322,AvsB_1to1_full,Metoprolol (β1-selective)
hypertension,0.3265,0.3365,0.0213,AvsB_1to1_full,Metoprolol (β1-selective)
diabetes_any,0.2367,0.2244,0.0291,AvsB_1to1_full,Metoprolol (β1-selective)
prior_cvd,0.1893,0.1852,0.0105,AvsB_1to1_full,Metoprolol (β1-selective)
prior_cancer_any,0.2979,0.2839,0.0308,AvsB_1to1_full,Metoprolol (β1-selective)
obesity,0.2297,0.2238,0.0141,AvsB_1to1_full,Metoprolol (β1-selective)
bph,0.1143,0.0996,0.0477,AvsB_1to1_full,Metoprolol (β1-selective)
heart_failure,0.0466,0.0569,0.0467,AvsB_1to1_full,Metoprolol (β1-selective)
anxiety,0.3812,0.3935,0.0253,AvsB_1to1_full,Metoprolol (β1-selective)
n_unique_medications,31.7114,34.7516,0.0809,AvsB_1to1_full,Metoprolol (β1-selective)
n_matched,24063.0,24063.0,,AvsB_1to1_simple,Metoprolol (β1-selective)
age,51.1522,51.3118,0.0083,AvsB_1to1_simple,Metoprolol (β1-selective)
gender,0.366,0.358,0.0166,AvsB_1to1_simple,Metoprolol (β1-selective)
race_White,0.505,0.5137,0.0172,AvsB_1to1_simple,Metoprolol (β1-selective)
race_Black,0.0903,0.0878,0.0089,AvsB_1to1_simple,Metoprolol (β1-selective)
race_Asian,0.0217,0.0199,0.0122,AvsB_1to1_simple,Metoprolol (β1-selective)
race_Other,0.383,0.3786,0.0089,AvsB_1to1_simple,Metoprolol (β1-selective)
cci,2.0277,1.8108,0.0689,AvsB_1to1_simple,Metoprolol (β1-selective)
n_unique_medications,31.717,43.4096,0.2988,AvsB_1to1_simple,Metoprolol (β1-selective)
n_matched,24096.0,48192.0,,AvsB_1to2_full,Metoprolol (β1-selective)
age,51.0867,51.2755,0.0098,AvsB_1to2_full,Metoprolol (β1-selective)
gender,0.3655,0.3362,0.0612,AvsB_1to2_full,Metoprolol (β1-selective)
race_White,0.5057,0.5172,0.023,AvsB_1to2_full,Metoprolol (β1-selective)
race_Black,0.0902,0.0803,0.0355,AvsB_1to2_full,Metoprolol (β1-selective)
race_Asian,0.0216,0.0165,0.0375,AvsB_1to2_full,Metoprolol (β1-selective)
race_Other,0.3824,0.386,0.0073,AvsB_1to2_full,Metoprolol (β1-selective)
cci,2.0264,1.9556,0.0221,AvsB_1to2_full,Metoprolol (β1-selective)
hypertension,0.3265,0.3323,0.0124,AvsB_1to2_full,Metoprolol (β1-selective)
diabetes_any,0.2367,0.2252,0.0271,AvsB_1to2_full,Metoprolol (β1-selective)
prior_cvd,0.1893,0.185,0.0111,AvsB_1to2_full,Metoprolol (β1-selective)
prior_cancer_any,0.2979,0.2835,0.0317,AvsB_1to2_full,Metoprolol (β1-selective)
obesity,0.2297,0.2157,0.0336,AvsB_1to2_full,Metoprolol (β1-selective)
bph,0.1143,0.1003,0.0451,AvsB_1to2_full,Metoprolol (β1-selective)
heart_failure,0.0466,0.0592,0.0566,AvsB_1to2_full,Metoprolol (β1-selective)
anxiety,0.3812,0.3862,0.0102,AvsB_1to2_full,Metoprolol (β1-selective)
n_unique_medications,31.7114,34.6656,0.0789,AvsB_1to2_full,Metoprolol (β1-selective)
n_matched,24063.0,48126.0,,AvsB_1to2_simple,Metoprolol (β1-selective)
age,51.1522,51.3306,0.0092,AvsB_1to2_simple,Metoprolol (β1-selective)
gender,0.366,0.3565,0.0197,AvsB_1to2_simple,Metoprolol (β1-selective)
race_White,0.505,0.5138,0.0175,AvsB_1to2_simple,Metoprolol (β1-selective)
race_Black,0.0903,0.0874,0.0104,AvsB_1to2_simple,Metoprolol (β1-selective)
race_Asian,0.0217,0.0196,0.0146,AvsB_1to2_simple,Metoprolol (β1-selective)
race_Other,0.383,0.3792,0.0077,AvsB_1to2_simple,Metoprolol (β1-selective)
cci,2.0277,1.849,0.0574,AvsB_1to2_simple,Metoprolol (β1-selective)
n_unique_medications,31.717,38.6038,0.1753,AvsB_1to2_simple,Metoprolol (β1-selective)
n_matched,24096.0,24096.0,,AvsC_1to1_full,Class-clean control
age,51.0867,51.9246,0.0428,AvsC_1to1_full,Class-clean control
gender,0.3655,0.3544,0.023,AvsC_1to1_full,Class-clean control
race_White,0.5057,0.5078,0.0041,AvsC_1to1_full,Class-clean control
race_Black,0.0902,0.0899,0.001,AvsC_1to1_full,Class-clean control
race_Asian,0.0216,0.0179,0.0265,AvsC_1to1_full,Class-clean control
race_Other,0.3824,0.3844,0.004,AvsC_1to1_full,Class-clean control
cci,2.0264,1.5561,0.1587,AvsC_1to1_full,Class-clean control
hypertension,0.3265,0.3286,0.0045,AvsC_1to1_full,Class-clean control
diabetes_any,0.2367,0.2296,0.0168,AvsC_1to1_full,Class-clean control
prior_cvd,0.1893,0.1761,0.034,AvsC_1to1_full,Class-clean control
prior_cancer_any,0.2979,0.2875,0.0229,AvsC_1to1_full,Class-clean control
obesity,0.2297,0.2319,0.0053,AvsC_1to1_full,Class-clean control
bph,0.1143,0.0947,0.0639,AvsC_1to1_full,Class-clean control
heart_failure,0.0466,0.0384,0.0403,AvsC_1to1_full,Class-clean control
anxiety,0.3812,0.3913,0.0207,AvsC_1to1_full,Class-clean control
n_unique_medications,31.7114,17.964,0.4333,AvsC_1to1_full,Class-clean control
n_matched,24096.0,24096.0,,AvsC_1to1_simple,Class-clean control
age,51.0867,51.2146,0.0066,AvsC_1to1_simple,Class-clean control
gender,0.3655,0.3672,0.0035,AvsC_1to1_simple,Class-clean control
race_White,0.5057,0.5046,0.0022,AvsC_1to1_simple,Class-clean control
race_Black,0.0902,0.0941,0.0133,AvsC_1to1_simple,Class-clean control
race_Asian,0.0216,0.0219,0.002,AvsC_1to1_simple,Class-clean control
