cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsB_1to1_full,B,1,full,0,365,1y,24096,24096,17,55,success,0.8691,0.7357,1.0266,0.0987594561161349,72,48192,0.9644
AvsB_1to1_full,B,1,full,0,730,2y,24096,24096,35,85,success,0.8415,0.7172,0.9874,0.034389584515699366,120,48192,0.9677
AvsB_1to1_full,B,1,full,0,1095,3y,24096,24096,52,105,success,0.8392,0.7185,0.98,0.026767989060592648,157,48192,0.9685
AvsB_1to1_full,B,1,full,0,1825,5y,24096,24096,75,141,success,0.8161,0.7035,0.9468,0.007334612888729661,216,48192,0.9707
AvsB_1to1_full,B,1,full,1,365,1y,24096,24096,17,35,success,0.9327,0.7872,1.1052,0.4211443147698557,52,48192,0.9558
AvsB_1to1_full,B,1,full,1,730,2y,24096,24096,35,54,success,0.931,0.7901,1.0969,0.3927886330884146,89,48192,0.9586
AvsB_1to1_full,B,1,full,1,1095,3y,24096,24096,52,84,success,0.8932,0.7629,1.0458,0.1605716624489659,136,48192,0.9644
AvsB_1to1_full,B,1,full,1,1825,5y,24096,24096,75,105,success,0.9016,0.7741,1.05,0.18263547367087063,180,48192,0.9668
AvsB_1to1_full,B,1,full,2,365,1y,24096,24096,17,38,success,0.9234,0.7797,1.0936,0.3558075368917627,55,48192,0.9555
AvsB_1to1_full,B,1,full,2,730,2y,24096,24096,35,59,success,0.9167,0.7785,1.0793,0.29655427972478465,94,48192,0.9581
AvsB_1to1_full,B,1,full,2,1095,3y,24096,24096,52,80,success,0.9072,0.7744,1.0627,0.2276099009729141,132,48192,0.9633
AvsB_1to1_full,B,1,full,2,1825,5y,24096,24096,75,101,success,0.9164,0.7865,1.0678,0.2630469400624095,176,48192,0.9665
AvsB_1to1_full,B,1,full,3,365,1y,24096,24096,17,52,success,0.8788,0.7436,1.0385,0.1293944869362375,69,48192,0.9608
AvsB_1to1_full,B,1,full,3,730,2y,24096,24096,35,68,success,0.8897,0.7566,1.0463,0.157869853317304,103,48192,0.9626
AvsB_1to1_full,B,1,full,3,1095,3y,24096,24096,52,91,success,0.877,0.7497,1.0259,0.10101888563940113,143,48192,0.9649
AvsB_1to1_full,B,1,full,3,1825,5y,24096,24096,75,121,success,0.8654,0.7444,1.0061,0.05996905657937596,196,48192,0.9686
AvsB_1to1_full,B,1,full,4,365,1y,24096,24096,17,59,success,0.8575,0.7263,1.0123,0.06948267406688888,76,48192,0.9658
AvsB_1to1_full,B,1,full,4,730,2y,24096,24096,35,87,success,0.8362,0.7128,0.9809,0.028013748398304526,122,48192,0.9662
AvsB_1to1_full,B,1,full,4,1095,3y,24096,24096,52,103,success,0.8441,0.7226,0.9861,0.03261397608949234,155,48192,0.9665
AvsB_1to1_full,B,1,full,4,1825,5y,24096,24096,75,129,success,0.8435,0.7262,0.9798,0.025934310608387672,204,48192,0.9697
AvsB_1to1_full,B,1,full,5,365,1y,24096,24096,17,65,success,0.8399,0.712,0.9907,0.03832061387124469,82,48192,0.9648
AvsB_1to1_full,B,1,full,5,730,2y,24096,24096,35,81,success,0.8514,0.7252,0.9995,0.04929960155279051,116,48192,0.9643
AvsB_1to1_full,B,1,full,5,1095,3y,24096,24096,52,100,success,0.8501,0.7275,0.9934,0.04103095609082337,152,48192,0.967
AvsB_1to1_full,B,1,full,5,1825,5y,24096,24096,75,127,success,0.846,0.7282,0.9829,0.028897568894279375,202,48192,0.969
AvsB_1to1_full,B,1,full,6,365,1y,24096,24096,17,39,success,0.9198,0.7768,1.0892,0.33251522829212116,56,48192,0.956
AvsB_1to1_full,B,1,full,6,730,2y,24096,24096,35,72,success,0.8773,0.7464,1.0311,0.11220159274509842,107,48192,0.9615
AvsB_1to1_full,B,1,full,6,1095,3y,24096,24096,52,97,success,0.8593,0.7351,1.0045,0.05701741858568504,149,48192,0.9647
AvsB_1to1_full,B,1,full,6,1825,5y,24096,24096,75,120,success,0.8646,0.7436,1.0053,0.058602072961180196,195,48192,0.9672
AvsB_1to1_full,B,1,full,7,365,1y,24096,24096,17,30,success,0.9505,0.8015,1.1271,0.5591635841218116,47,48192,0.9534
AvsB_1to1_full,B,1,full,7,730,2y,24096,24096,35,64,success,0.9002,0.7651,1.0593,0.20543520771386736,99,48192,0.9596
AvsB_1to1_full,B,1,full,7,1095,3y,24096,24096,52,89,success,0.88,0.7521,1.0297,0.11085530853537578,141,48192,0.9632
AvsB_1to1_full,B,1,full,7,1825,5y,24096,24096,75,120,success,0.8637,0.7429,1.0042,0.05676760275273759,195,48192,0.9665
AvsB_1to1_full,B,1,full,8,365,1y,24096,24096,17,48,success,0.8907,0.7532,1.0533,0.17609006113833492,65,48192,0.9639
AvsB_1to1_full,B,1,full,8,730,2y,24096,24096,35,78,success,0.8608,0.733,1.0109,0.06765906303795532,113,48192,0.9639
AvsB_1to1_full,B,1,full,8,1095,3y,24096,24096,52,97,success,0.8601,0.7358,1.0055,0.058608334440696165,149,48192,0.9656
AvsB_1to1_full,B,1,full,8,1825,5y,24096,24096,75,120,success,0.8655,0.7444,1.0063,0.060390552590461645,195,48192,0.9665
AvsB_1to1_full,B,1,full,9,365,1y,24096,24096,17,29,success,0.9542,0.8045,1.1317,0.5899350039144711,46,48192,0.9518
AvsB_1to1_full,B,1,full,9,730,2y,24096,24096,35,55,success,0.9287,0.7883,1.0942,0.37672136954707547,90,48192,0.9577
AvsB_1to1_full,B,1,full,9,1095,3y,24096,24096,52,65,success,0.9515,0.8106,1.1167,0.542581562568663,117,48192,0.9621
AvsB_1to1_full,B,1,full,9,1825,5y,24096,24096,75,88,success,0.9514,0.8153,1.1102,0.5266225261914497,163,48192,0.9666
AvsB_1to1_simple,B,1,simple,0,365,1y,24063,24063,17,40,success,0.9178,0.7751,1.0867,0.319631910976875,57,48126,0.943
AvsB_1to1_simple,B,1,simple,0,730,2y,24063,24063,35,40,success,0.9818,0.8314,1.1593,0.8282301981633474,75,48126,0.9451
AvsB_1to1_simple,B,1,simple,0,1095,3y,24063,24063,52,57,success,0.9825,0.8361,1.1545,0.8302072453837945,109,48126,0.9513
AvsB_1to1_simple,B,1,simple,0,1825,5y,24063,24063,75,57,success,1.0597,0.9046,1.2415,0.47273255383510837,132,48126,0.9512
AvsB_1to2_full,B,2,full,0,365,1y,24096,48192,17,91,success,0.8991,0.7781,1.0388,0.1489845364753785,108,72288,0.966
AvsB_1to2_full,B,2,full,0,730,2y,24096,48192,35,144,success,0.8775,0.7637,1.0082,0.06514031383922499,179,72288,0.9688
AvsB_1to2_full,B,2,full,0,1095,3y,24096,48192,52,177,success,0.8818,0.7702,1.0095,0.06820950575849989,229,72288,0.9697
AvsB_1to2_full,B,2,full,0,1825,5y,24096,48192,75,245,success,0.8574,0.7533,0.9759,0.019827408568770636,320,72288,0.9711
AvsB_1to2_full,B,2,full,1,365,1y,24096,48192,17,80,success,0.916,0.7921,1.0594,0.23697751448716006,97,72288,0.9614
AvsB_1to2_full,B,2,full,1,730,2y,24096,48192,35,131,success,0.8952,0.7784,1.0295,0.12063540577722387,166,72288,0.9637
AvsB_1to2_full,B,2,full,1,1095,3y,24096,48192,52,175,success,0.8833,0.7715,1.0113,0.0722555630322581,227,72288,0.9666
AvsB_1to2_full,B,2,full,1,1825,5y,24096,48192,75,248,success,0.8532,0.7498,0.971,0.016121727602623842,323,72288,0.9698
AvsB_1to2_full,B,2,full,2,365,1y,24096,48186,17,77,success,0.9223,0.7973,1.067,0.2766188733385328,94,72282,0.9584
AvsB_1to2_full,B,2,full,2,730,2y,24096,48186,35,124,success,0.9083,0.7893,1.0451,0.17892723868193164,159,72282,0.9597
AvsB_1to2_full,B,2,full,2,1095,3y,24096,48186,52,174,success,0.889,0.7763,1.018,0.08869046930951359,226,72282,0.9648
AvsB_1to2_full,B,2,full,2,1825,5y,24096,48186,75,237,success,0.8728,0.7664,0.9939,0.040212680415655004,312,72282,0.9683
