cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,reason,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates
AvsB_1to1_full,B,1,full,0,365,1y,24096,24096,17,55,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,0,730,2y,24096,24096,35,85,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,0,1095,3y,24096,24096,52,105,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,0,1825,5y,24096,24096,75,141,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,1,365,1y,24096,24096,17,35,success,,0.4378,0.243,0.7885,0.005934947976290376,0.3002,48192.0,52.0,14.0
AvsB_1to1_full,B,1,full,1,730,2y,24096,24096,35,54,success,,0.594,0.3839,0.919,0.019321961056360578,0.2227,48192.0,89.0,14.0
AvsB_1to1_full,B,1,full,1,1095,3y,24096,24096,52,84,success,,0.5553,0.3873,0.7962,0.0013764937092557935,0.1839,48192.0,136.0,14.0
AvsB_1to1_full,B,1,full,1,1825,5y,24096,24096,75,105,success,,0.6453,0.4722,0.882,0.005995568571193021,0.1594,48192.0,180.0,14.0
AvsB_1to1_full,B,1,full,2,365,1y,24096,24096,17,38,success,,0.4251,0.2376,0.7606,0.003951987400080326,0.2968,48192.0,55.0,14.0
AvsB_1to1_full,B,1,full,2,730,2y,24096,24096,35,59,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,2,1095,3y,24096,24096,52,80,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,2,1825,5y,24096,24096,75,101,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,3,365,1y,24096,24096,17,52,success,,0.3045,0.1746,0.5311,2.7921508710272348e-05,0.2838,48192.0,69.0,14.0
AvsB_1to1_full,B,1,full,3,730,2y,24096,24096,35,68,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,3,1095,3y,24096,24096,52,91,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,3,1825,5y,24096,24096,75,121,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,4,365,1y,24096,24096,17,59,success,,0.2604,0.1501,0.4516,1.6653021658126168e-06,0.2809,48192.0,76.0,14.0
AvsB_1to1_full,B,1,full,4,730,2y,24096,24096,35,87,success,,0.3633,0.2424,0.5445,9.401511220271929e-07,0.2065,48192.0,122.0,14.0
AvsB_1to1_full,B,1,full,4,1095,3y,24096,24096,52,103,success,,0.4578,0.3235,0.6479,1.0338492086955012e-05,0.1772,48192.0,155.0,14.0
AvsB_1to1_full,B,1,full,4,1825,5y,24096,24096,75,129,success,,0.5265,0.3895,0.7118,3.035275298576859e-05,0.1538,48192.0,204.0,14.0
AvsB_1to1_full,B,1,full,5,365,1y,24096,24096,17,65,success,,0.2416,0.1401,0.4166,3.224009776349009e-07,0.278,48192.0,82.0,14.0
AvsB_1to1_full,B,1,full,5,730,2y,24096,24096,35,81,success,,0.404,0.2685,0.608,1.3880862167340999e-05,0.2085,48192.0,116.0,14.0
AvsB_1to1_full,B,1,full,5,1095,3y,24096,24096,52,100,success,,0.4783,0.3367,0.6793,3.794181553561929e-05,0.179,48192.0,152.0,14.0
AvsB_1to1_full,B,1,full,5,1825,5y,24096,24096,75,127,success,,0.5406,0.3992,0.7319,6.929001302075766e-05,0.1546,48192.0,202.0,14.0
AvsB_1to1_full,B,1,full,6,365,1y,24096,24096,17,39,success,,0.4081,0.2289,0.7276,0.002384657515800842,0.2951,48192.0,56.0,14.0
AvsB_1to1_full,B,1,full,6,730,2y,24096,24096,35,72,success,,0.4524,0.2984,0.6859,0.0001870291001031718,0.2123,48192.0,107.0,14.0
AvsB_1to1_full,B,1,full,6,1095,3y,24096,24096,52,97,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,6,1825,5y,24096,24096,75,120,failed,non-convergence,,,,,,,,
AvsB_1to1_full,B,1,full,7,365,1y,24096,24096,17,30,success,,0.5223,0.2861,0.9538,0.03450617656136266,0.3072,48192.0,47.0,14.0
AvsB_1to1_full,B,1,full,7,730,2y,24096,24096,35,64,success,,0.4925,0.323,0.7511,0.0010032157433683302,0.2153,48192.0,99.0,14.0
AvsB_1to1_full,B,1,full,7,1095,3y,24096,24096,52,89,success,,0.5221,0.3663,0.7442,0.0003253530678598187,0.1808,48192.0,141.0,14.0
