cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsB_1to1_full,B,1,full,0,365,1y,24096,24096,17,55,0.7063,0.4114,1.1308,2.2877,1.7234,2.9777,0.3087,0.1792,0.5319
AvsB_1to1_full,B,1,full,0,730,2y,24096,24096,35,85,0.7273,0.5066,1.0115,1.769,1.413,2.1874,0.4111,0.2774,0.6095
AvsB_1to1_full,B,1,full,0,1095,3y,24096,24096,52,105,0.7206,0.5382,0.945,1.4576,1.1922,1.7646,0.4944,0.3546,0.6893
AvsB_1to1_full,B,1,full,0,1825,5y,24096,24096,75,141,0.624,0.4908,0.7822,1.1755,0.9895,1.3863,0.5308,0.4012,0.7025
AvsB_1to1_full,B,1,full,1,365,1y,24096,24096,17,35,0.7063,0.4114,1.1308,1.4549,1.0134,2.0234,0.4855,0.272,0.8666
AvsB_1to1_full,B,1,full,1,730,2y,24096,24096,35,54,0.7273,0.5066,1.0115,1.1228,0.8435,1.4651,0.6478,0.4233,0.9911
AvsB_1to1_full,B,1,full,1,1095,3y,24096,24096,52,84,0.7206,0.5382,0.945,1.165,0.9292,1.4423,0.6185,0.4377,0.8741
AvsB_1to1_full,B,1,full,1,1825,5y,24096,24096,75,105,0.624,0.4908,0.7822,0.8745,0.7152,1.0586,0.7136,0.5306,0.9597
AvsB_1to1_full,B,1,full,2,365,1y,24096,24096,17,38,0.7063,0.4114,1.1308,1.5798,1.1179,2.1684,0.4471,0.2524,0.7921
AvsB_1to1_full,B,1,full,2,730,2y,24096,24096,35,59,0.7273,0.5066,1.0115,1.227,0.9341,1.5828,0.5927,0.3902,0.9005
AvsB_1to1_full,B,1,full,2,1095,3y,24096,24096,52,80,0.7206,0.5382,0.945,1.1097,0.8799,1.3811,0.6494,0.458,0.9207
AvsB_1to1_full,B,1,full,2,1825,5y,24096,24096,75,101,0.624,0.4908,0.7822,0.8412,0.6851,1.0221,0.7418,0.5502,1.0001
AvsB_1to1_full,B,1,full,3,365,1y,24096,24096,17,52,0.7063,0.4114,1.1308,2.1628,1.6153,2.8362,0.3266,0.1889,0.5647
AvsB_1to1_full,B,1,full,3,730,2y,24096,24096,35,68,0.7273,0.5066,1.0115,1.4148,1.0987,1.7936,0.5141,0.3419,0.7729
AvsB_1to1_full,B,1,full,3,1095,3y,24096,24096,52,91,0.7206,0.5382,0.945,1.2627,1.0167,1.5503,0.5707,0.4059,0.8024
AvsB_1to1_full,B,1,full,3,1825,5y,24096,24096,75,121,0.624,0.4908,0.7822,1.0082,0.8366,1.2047,0.6189,0.464,0.8255
AvsB_1to1_full,B,1,full,4,365,1y,24096,24096,17,59,0.7063,0.4114,1.1308,2.4541,1.8682,3.1657,0.2878,0.1678,0.4936
AvsB_1to1_full,B,1,full,4,730,2y,24096,24096,35,87,0.7273,0.5066,1.0115,1.8108,1.4504,2.2336,0.4016,0.2713,0.5946
AvsB_1to1_full,B,1,full,4,1095,3y,24096,24096,52,103,0.7206,0.5382,0.945,1.43,1.1672,1.7343,0.5039,0.361,0.7033
AvsB_1to1_full,B,1,full,4,1825,5y,24096,24096,75,129,0.624,0.4908,0.7822,1.0754,0.8978,1.2778,0.5802,0.4365,0.7713
AvsB_1to1_full,B,1,full,5,365,1y,24096,24096,17,65,0.7063,0.4114,1.1308,2.7046,2.0873,3.4472,0.2611,0.1531,0.4454
AvsB_1to1_full,B,1,full,5,730,2y,24096,24096,35,81,0.7273,0.5066,1.0115,1.6861,1.339,2.0957,0.4314,0.2902,0.6412
AvsB_1to1_full,B,1,full,5,1095,3y,24096,24096,52,100,0.7206,0.5382,0.945,1.3884,1.1296,1.6886,0.519,0.3712,0.7256
AvsB_1to1_full,B,1,full,5,1825,5y,24096,24096,75,127,0.624,0.4908,0.7822,1.0587,0.8826,1.2596,0.5894,0.443,0.7841
AvsB_1to1_full,B,1,full,6,365,1y,24096,24096,17,39,0.7063,0.4114,1.1308,1.6215,1.153,2.2166,0.4356,0.2464,0.7699
AvsB_1to1_full,B,1,full,6,730,2y,24096,24096,35,72,0.7273,0.5066,1.0115,1.4977,1.1718,1.8861,0.4856,0.3243,0.7273
AvsB_1to1_full,B,1,full,6,1095,3y,24096,24096,52,97,0.7206,0.5382,0.945,1.3459,1.0914,1.6419,0.5354,0.3823,0.7499
AvsB_1to1_full,B,1,full,6,1825,5y,24096,24096,75,120,0.624,0.4908,0.7822,0.9999,0.8291,1.1957,0.6241,0.4677,0.8328
AvsB_1to1_full,B,1,full,7,365,1y,24096,24096,17,30,0.7063,0.4114,1.1308,1.247,0.8413,1.7802,0.5664,0.3124,1.0269
AvsB_1to1_full,B,1,full,7,730,2y,24096,24096,35,64,0.7273,0.5066,1.0115,1.3307,1.0248,1.6993,0.5466,0.362,0.8252
AvsB_1to1_full,B,1,full,7,1095,3y,24096,24096,52,89,0.7206,0.5382,0.945,1.2344,0.9914,1.5191,0.5838,0.4146,0.8219
AvsB_1to1_full,B,1,full,7,1825,5y,24096,24096,75,120,0.624,0.4908,0.7822,0.9996,0.8288,1.1953,0.6242,0.4678,0.833
AvsB_1to1_full,B,1,full,8,365,1y,24096,24096,17,48,0.7063,0.4114,1.1308,1.996,1.4717,2.6464,0.3539,0.2035,0.6153
AvsB_1to1_full,B,1,full,8,730,2y,24096,24096,35,78,0.7273,0.5066,1.0115,1.6228,1.2828,2.0253,0.4482,0.3008,0.6678
AvsB_1to1_full,B,1,full,8,1095,3y,24096,24096,52,97,0.7206,0.5382,0.945,1.3462,1.0917,1.6423,0.5353,0.3822,0.7497
AvsB_1to1_full,B,1,full,8,1825,5y,24096,24096,75,120,0.624,0.4908,0.7822,1.0,0.8291,1.1958,0.624,0.4676,0.8327
AvsB_1to1_full,B,1,full,9,365,1y,24096,24096,17,29,0.7063,0.4114,1.1308,1.2053,0.8072,1.7309,0.586,0.322,1.0664
AvsB_1to1_full,B,1,full,9,730,2y,24096,24096,35,55,0.7273,0.5066,1.0115,1.1434,0.8614,1.4883,0.6361,0.4164,0.9718
AvsB_1to1_full,B,1,full,9,1095,3y,24096,24096,52,65,0.7206,0.5382,0.945,0.9013,0.6956,1.1487,0.7995,0.5552,1.1513
AvsB_1to1_full,B,1,full,9,1825,5y,24096,24096,75,88,0.624,0.4908,0.7822,0.7326,0.5875,0.9026,0.8518,0.626,1.159
AvsB_1to1_simple,B,1,simple,0,365,1y,24063,24063,17,40,0.7072,0.412,1.1323,1.6656,1.1899,2.268,0.4246,0.2407,0.7489
AvsB_1to1_simple,B,1,simple,0,730,2y,24063,24063,35,40,0.7283,0.5073,1.0129,0.8329,0.5951,1.1342,0.8744,0.5555,1.3764
AvsB_1to1_simple,B,1,simple,0,1095,3y,24063,24063,52,57,0.7216,0.5389,0.9463,0.7915,0.5995,1.0255,0.9117,0.6261,1.3276
AvsB_1to1_simple,B,1,simple,0,1825,5y,24063,24063,75,57,0.6249,0.4915,0.7833,0.475,0.3598,0.6155,1.3156,0.9323,1.8565
AvsB_1to2_full,B,2,full,0,365,1y,24096,48192,17,91,0.7063,0.4114,1.1308,1.8919,1.5232,2.3228,0.3733,0.2224,0.6266
AvsB_1to2_full,B,2,full,0,730,2y,24096,48192,35,144,0.7273,0.5066,1.0115,1.4979,1.2632,1.7635,0.4855,0.3356,0.7025
AvsB_1to2_full,B,2,full,0,1095,3y,24096,48192,52,177,0.7206,0.5382,0.945,1.228,1.0538,1.4228,0.5868,0.4308,0.7994
AvsB_1to2_full,B,2,full,0,1825,5y,24096,48192,75,245,0.624,0.4908,0.7822,1.0207,0.8969,1.1568,0.6113,0.472,0.7918
AvsB_1to2_full,B,2,full,1,365,1y,24096,48192,17,80,0.7063,0.4114,1.1308,1.663,1.3187,2.0698,0.4247,0.2516,0.7168
AvsB_1to2_full,B,2,full,1,730,2y,24096,48192,35,131,0.7273,0.5066,1.0115,1.3624,1.1391,1.6167,0.5338,0.3677,0.7751
AvsB_1to2_full,B,2,full,1,1095,3y,24096,48192,52,175,0.7206,0.5382,0.945,1.2139,1.0407,1.4077,0.5936,0.4356,0.809
AvsB_1to2_full,B,2,full,1,1825,5y,24096,48192,75,248,0.624,0.4908,0.7822,1.033,0.9085,1.1699,0.6041,0.4666,0.7821
