cell,window_label,estimator,n_seeds,median,min,max
AvsB_1to1_full,1y,Cox HR,10,0.9052,0.8399,0.9542
AvsB_1to1_full,1y,Logit OR,9,0.4081,0.2416,0.5405
AvsB_1to1_full,2y,Cox HR,10,0.8835,0.8362,0.931
AvsB_1to1_full,2y,Logit OR,7,0.4524,0.3633,0.5941
AvsB_1to1_full,3y,Cox HR,10,0.8685,0.8392,0.9515
AvsB_1to1_full,3y,Logit OR,6,0.5159,0.4578,0.7518
AvsB_1to1_full,5y,Cox HR,10,0.865,0.8161,0.9514
AvsB_1to1_full,5y,Logit OR,6,0.5665,0.5265,0.8046
AvsB_1to1_simple,1y,Cox HR,1,0.9178,0.9178,0.9178
AvsB_1to1_simple,1y,Logit OR,1,0.419,0.419,0.419
AvsB_1to1_simple,2y,Cox HR,1,0.9818,0.9818,0.9818
AvsB_1to1_simple,2y,Logit OR,1,0.8755,0.8755,0.8755
AvsB_1to1_simple,3y,Cox HR,1,0.9825,0.9825,0.9825
AvsB_1to1_simple,3y,Logit OR,1,0.9154,0.9154,0.9154
AvsB_1to1_simple,5y,Cox HR,1,1.0597,1.0597,1.0597
AvsB_1to1_simple,5y,Logit OR,0,,,
AvsB_1to2_full,1y,Cox HR,10,0.8992,0.8595,0.9397
AvsB_1to2_full,1y,Logit OR,9,0.347,0.2633,0.4657
AvsB_1to2_full,2y,Cox HR,10,0.8783,0.8679,0.9083
AvsB_1to2_full,2y,Logit OR,9,0.4472,0.4272,0.5364
AvsB_1to2_full,3y,Cox HR,10,0.877,0.8633,0.9136
AvsB_1to2_full,3y,Logit OR,9,0.5283,0.4891,0.6331
AvsB_1to2_full,5y,Cox HR,10,0.8722,0.8532,0.9106
AvsB_1to2_full,5y,Logit OR,9,0.5861,0.5314,0.6894
AvsB_1to2_simple,1y,Cox HR,1,0.9092,0.9092,0.9092
AvsB_1to2_simple,1y,Logit OR,1,0.5471,0.5471,0.5471
AvsB_1to2_simple,2y,Cox HR,1,0.8708,0.8708,0.8708
AvsB_1to2_simple,2y,Logit OR,0,,,
AvsB_1to2_simple,3y,Cox HR,1,0.899,0.899,0.899
AvsB_1to2_simple,3y,Logit OR,0,,,
AvsB_1to2_simple,5y,Cox HR,1,0.9565,0.9565,0.9565
AvsB_1to2_simple,5y,Logit OR,1,0.8396,0.8396,0.8396
AvsC_1to1_full,1y,Cox HR,10,0.88,0.8105,0.9502
AvsC_1to1_full,1y,Logit OR,8,0.3048,0.2082,0.5168
AvsC_1to1_full,2y,Cox HR,10,0.8525,0.8102,0.9472
AvsC_1to1_full,2y,Logit OR,6,0.4229,0.3489,0.6418
AvsC_1to1_full,3y,Cox HR,10,0.8615,0.7698,0.9531
AvsC_1to1_full,3y,Logit OR,7,0.4982,0.4009,0.7389
AvsC_1to1_full,5y,Cox HR,10,0.844,0.7545,0.9786
AvsC_1to1_full,5y,Logit OR,8,0.5282,0.4048,0.864
AvsC_1to1_simple,1y,Cox HR,1,1.0617,1.0617,1.0617
AvsC_1to1_simple,1y,Logit OR,0,,,
AvsC_1to1_simple,2y,Cox HR,1,1.0417,1.0417,1.0417
AvsC_1to1_simple,2y,Logit OR,1,1.4639,1.4639,1.4639
AvsC_1to1_simple,3y,Cox HR,1,0.964,0.964,0.964
AvsC_1to1_simple,3y,Logit OR,1,0.819,0.819,0.819
AvsC_1to1_simple,5y,Cox HR,1,1.0329,1.0329,1.0329
AvsC_1to1_simple,5y,Logit OR,1,1.1584,1.1584,1.1584
AvsC_1to2_full,1y,Cox HR,10,0.8776,0.8119,0.9253
AvsC_1to2_full,1y,Logit OR,7,0.307,0.2275,0.4223
AvsC_1to2_full,2y,Cox HR,10,0.8599,0.7939,0.9092
AvsC_1to2_full,2y,Logit OR,6,0.42,0.3949,0.5252
AvsC_1to2_full,3y,Cox HR,10,0.8508,0.7585,0.908
AvsC_1to2_full,3y,Logit OR,7,0.4811,0.45,0.6036
AvsC_1to2_full,5y,Cox HR,10,0.8401,0.7608,0.9421
AvsC_1to2_full,5y,Logit OR,7,0.5379,0.4064,0.7615
AvsC_1to2_simple,1y,Cox HR,1,1.0646,1.0646,1.0646
AvsC_1to2_simple,1y,Logit OR,1,11.399,11.399,11.399
AvsC_1to2_simple,2y,Cox HR,1,1.0901,1.0901,1.0901
AvsC_1to2_simple,2y,Logit OR,1,2.8281,2.8281,2.8281
AvsC_1to2_simple,3y,Cox HR,1,1.0743,1.0743,1.0743
AvsC_1to2_simple,3y,Logit OR,1,1.6421,1.6421,1.6421
AvsC_1to2_simple,5y,Cox HR,1,0.9527,0.9527,0.9527
AvsC_1to2_simple,5y,Logit OR,1,0.8197,0.8197,0.8197
