subgroup,label,n_in_group,n_complement,events_in_group,events_complement,hr_in_group,hr_ci_lower_in_group,hr_ci_upper_in_group,hr_complement,hr_ci_lower_complement,hr_ci_upper_complement,or_in_group,or_complement,interaction_p,interaction_q,fdr_significant,cell,comparator,ratio,adjustment,window_days,window_label
age_le60,Age ≤ 60,31958,16234,5,67,0.9696,0.78,1.2053,0.7445,0.5743,0.9651,,0.3309,0.1263207399404937,0.421069,False,AvsB_1to1_full,B,1,full,365,1y
age_gt70,Age > 70,9655,38537,52,20,0.6996,0.5064,0.9666,0.9421,0.7754,1.1446,0.3354,,0.12215452796699836,0.421069,False,AvsB_1to1_full,B,1,full,365,1y
white,White,24602,23590,49,23,0.8413,0.6696,1.0572,0.9021,0.707,1.1509,0.3072,,0.6821207517859479,0.852651,False,AvsB_1to1_full,B,1,full,365,1y
black,Black,4090,44102,6,66,0.7623,0.4296,1.3528,0.8797,0.7391,1.047,,,0.6395004195392304,0.852651,False,AvsB_1to1_full,B,1,full,365,1y
hypertension,Hypertension,15976,32216,40,32,0.8504,0.6443,1.1224,0.8799,0.7144,1.0837,,,0.8472712512470839,0.917893,False,AvsB_1to1_full,B,1,full,365,1y
diabetes_any,Diabetes,11111,37081,28,44,0.7858,0.5634,1.096,0.8978,0.7406,1.0884,0.2687,,0.49687708531808966,0.852651,False,AvsB_1to1_full,B,1,full,365,1y
prior_cvd,Prior CVD,9023,39169,30,42,0.8126,0.5682,1.1623,0.8855,0.7335,1.0689,0.4266,,0.6770832128771085,0.852651,False,AvsB_1to1_full,B,1,full,365,1y
obesity,Obesity,10926,37266,14,58,1.0269,0.7214,1.4618,0.8291,0.6863,1.0016,1.2908,,0.2950854865079719,0.737714,False,AvsB_1to1_full,B,1,full,365,1y
bph,BPH,5153,43039,40,32,0.6403,0.4237,0.9677,0.9177,0.7648,1.1013,0.3584,,0.11809119399983958,0.421069,False,AvsB_1to1_full,B,1,full,365,1y
heart_failure,Heart failure,2493,45699,8,64,0.9001,0.4529,1.7888,0.8672,0.7304,1.0298,0.5559,0.2667,0.9178929604874031,0.917893,False,AvsB_1to1_full,B,1,full,365,1y
age_le60,Age ≤ 60,31958,16234,9,111,0.9817,0.7908,1.2187,0.6998,0.5514,0.8882,,0.3831,0.039265691933460654,0.314161,False,AvsB_1to1_full,B,1,full,730,2y
age_gt70,Age > 70,9655,38537,90,30,0.6715,0.5028,0.897,0.9339,0.7705,1.132,0.4177,0.3092,0.06283224039199765,0.314161,False,AvsB_1to1_full,B,1,full,730,2y
white,White,24602,23590,84,36,0.7977,0.6427,0.99,0.8982,0.7081,1.1393,0.3701,,0.4690982386458219,0.938196,False,AvsB_1to1_full,B,1,full,730,2y
black,Black,4090,44102,9,111,0.8015,0.4597,1.3976,0.8453,0.7153,0.9988,0.2875,,0.8574268036950501,0.952696,False,AvsB_1to1_full,B,1,full,730,2y
hypertension,Hypertension,15976,32216,70,50,0.8648,0.6676,1.1202,0.8277,0.6754,1.0142,0.602,,0.7939703369244813,0.952696,False,AvsB_1to1_full,B,1,full,730,2y
diabetes_any,Diabetes,11111,37081,43,77,0.79,0.5759,1.0839,0.8586,0.7133,1.0334,0.426,,0.6561032948904997,0.952696,False,AvsB_1to1_full,B,1,full,730,2y
prior_cvd,Prior CVD,9023,39169,51,69,0.799,0.5742,1.1119,0.8554,0.7126,1.0269,0.5409,,0.7232791833035697,0.952696,False,AvsB_1to1_full,B,1,full,730,2y
obesity,Obesity,10926,37266,23,97,1.0362,0.7369,1.4572,0.7945,0.6629,0.9523,,,0.17749277751098413,0.443732,False,AvsB_1to1_full,B,1,full,730,2y
bph,BPH,5153,43039,62,58,0.6385,0.4404,0.9258,0.8922,0.7471,1.0654,0.4456,,0.11120116190963539,0.370671,False,AvsB_1to1_full,B,1,full,730,2y
heart_failure,Heart failure,2493,45699,14,106,0.8363,0.444,1.5753,0.8425,0.7142,0.9939,0.4938,,0.9823499232073637,0.98235,False,AvsB_1to1_full,B,1,full,730,2y
age_le60,Age ≤ 60,31958,16234,13,144,0.9585,0.7731,1.1883,0.7276,0.5809,0.9112,,0.4864,0.08261053253627694,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
age_gt70,Age > 70,9655,38537,115,42,0.7493,0.5716,0.9824,0.8924,0.7382,1.0787,0.5891,,0.30010290559281155,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
white,White,24602,23590,105,52,0.8196,0.6647,1.0106,0.8639,0.6856,1.0885,0.4868,0.4039,0.7408266627619222,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
black,Black,4090,44102,13,144,0.7498,0.439,1.2808,0.8479,0.721,0.9972,0.3148,,0.6666016117641351,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
hypertension,Hypertension,15976,32216,98,59,0.8885,0.6959,1.1344,0.8084,0.6613,0.9883,0.7188,,0.5582610535748624,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
diabetes_any,Diabetes,11111,37081,62,95,0.8748,0.6492,1.1786,0.8256,0.6884,0.9902,0.7304,,0.7452632807658445,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
prior_cvd,Prior CVD,9023,39169,67,90,0.8783,0.6424,1.2008,0.8278,0.6923,0.9897,0.7667,,0.7472925712553462,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
obesity,Obesity,10926,37266,31,126,1.0287,0.7387,1.4325,0.7936,0.6657,0.9461,,,0.17492169115169975,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
bph,BPH,5153,43039,84,73,0.7867,0.5612,1.1029,0.8499,0.7136,1.0122,0.7235,,0.6904858435413388,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
heart_failure,Heart failure,2493,45699,18,139,0.7778,0.4248,1.4238,0.8445,0.7192,0.9917,0.4531,,0.7966195930996484,0.79662,False,AvsB_1to1_full,B,1,full,1095,3y
age_le60,Age ≤ 60,31958,16234,14,202,0.9643,0.778,1.1951,0.7012,0.5702,0.8623,,0.4953,0.0361548300133165,0.361548,False,AvsB_1to1_full,B,1,full,1825,5y
age_gt70,Age > 70,9655,38537,160,56,0.7181,0.5612,0.9189,0.8861,0.7352,1.0679,0.5744,,0.1827200905236433,0.894948,False,AvsB_1to1_full,B,1,full,1825,5y
white,White,24602,23590,143,73,0.8054,0.66,0.9828,0.8304,0.6643,1.0381,0.5234,,0.8412294477986912,0.992054,False,AvsB_1to1_full,B,1,full,1825,5y
black,Black,4090,44102,19,197,0.6683,0.4016,1.112,0.8316,0.712,0.9714,0.241,,0.4209194371087143,0.912969,False,AvsB_1to1_full,B,1,full,1825,5y
hypertension,Hypertension,15976,32216,150,66,0.8208,0.6567,1.026,0.8142,0.6672,0.9935,0.6363,,0.9577936805449436,0.992054,False,AvsB_1to1_full,B,1,full,1825,5y
diabetes_any,Diabetes,11111,37081,91,125,0.8116,0.6157,1.0698,0.8169,0.6849,0.9743,0.6499,,0.9689411351088453,0.992054,False,AvsB_1to1_full,B,1,full,1825,5y
prior_cvd,Prior CVD,9023,39169,100,116,0.8477,0.6377,1.1267,0.8066,0.6777,0.96,0.753,,0.7703080956227353,0.992054,False,AvsB_1to1_full,B,1,full,1825,5y
obesity,Obesity,10926,37266,50,166,0.9534,0.6988,1.3007,0.7808,0.6592,0.9247,0.8941,,0.26848446499414214,0.894948,False,AvsB_1to1_full,B,1,full,1825,5y
bph,BPH,5153,43039,127,89,0.7384,0.5498,0.9918,0.8407,0.7078,0.9986,0.6622,,0.45648441740574647,0.912969,False,AvsB_1to1_full,B,1,full,1825,5y
heart_failure,Heart failure,2493,45699,30,186,0.8144,0.4779,1.3877,0.8167,0.6996,0.9533,0.6201,,0.9920535450744712,0.992054,False,AvsB_1to1_full,B,1,full,1825,5y
age_gt70,Age > 70,9710,38416,53,4,0.6936,0.5028,0.9567,1.0208,0.8367,1.2455,0.31,,0.04519739026828278,0.045463,True,AvsB_1to1_simple,B,1,simple,365,1y
white,White,24513,23613,12,45,1.0986,0.8603,1.4029,0.7777,0.6154,0.9828,,0.12,0.04546306957226333,0.045463,True,AvsB_1to1_simple,B,1,simple,365,1y
age_le60,Age ≤ 60,31866,16260,3,72,1.0188,0.8188,1.2677,0.9327,0.7221,1.2048,,0.7988,0.6071173519633767,0.607117,False,AvsB_1to1_simple,B,1,simple,730,2y
age_gt70,Age > 70,9710,38416,67,8,0.8484,0.6245,1.1525,1.0416,0.8546,1.2697,0.6663,,0.270276677692073,0.405415,False,AvsB_1to1_simple,B,1,simple,730,2y
white,White,24513,23613,24,51,1.1967,0.9423,1.5199,0.8149,0.6465,1.0272,,0.2681,0.023619619766030647,0.070859,False,AvsB_1to1_simple,B,1,simple,730,2y
age_le60,Age ≤ 60,31866,16260,3,106,1.0188,0.8188,1.2677,0.9404,0.7403,1.1946,,0.8604,0.6281554457321084,0.711241,False,AvsB_1to1_simple,B,1,simple,1095,3y
age_gt70,Age > 70,9710,38416,83,26,1.0274,0.7671,1.376,0.9616,0.7924,1.1669,1.0816,0.5191,0.7112413339485738,0.711241,False,AvsB_1to1_simple,B,1,simple,1095,3y
white,White,24513,23613,36,73,1.2942,1.0242,1.6354,0.764,0.6111,0.9552,,0.2741,0.0014039902068266065,0.005616,True,AvsB_1to1_simple,B,1,simple,1095,3y
black,Black,4287,43839,20,89,0.6344,0.3856,1.0438,1.0344,0.8721,1.227,0.172,1.2338,0.06868453046856643,0.137369,False,AvsB_1to1_simple,B,1,simple,1095,3y
age_le60,Age ≤ 60,31866,16260,4,128,1.0251,0.8241,1.2751,1.0992,0.8733,1.3836,,1.2581,0.6662109259713602,0.666211,False,AvsB_1to1_simple,B,1,simple,1825,5y
age_gt70,Age > 70,9710,38416,100,32,1.2184,0.9209,1.6121,0.9903,0.8171,1.2001,1.53,0.8792,0.23155217711530449,0.308736,False,AvsB_1to1_simple,B,1,simple,1825,5y
white,White,24513,23613,52,80,1.423,1.1329,1.7873,0.8033,0.6442,1.0018,,0.3957,0.00041313209569887165,0.001653,True,AvsB_1to1_simple,B,1,simple,1825,5y
black,Black,4287,43839,21,111,0.6594,0.4026,1.0803,1.1192,0.9468,1.3231,0.23,1.807,0.04661382101989698,0.093228,False,AvsB_1to1_simple,B,1,simple,1825,5y
age_le60,Age ≤ 60,47997,24291,6,102,0.9816,0.8128,1.1855,0.7925,0.632,0.9936,,0.3865,0.15453651319545378,0.719596,False,AvsB_1to2_full,B,2,full,365,1y
